Construction Materials of the Outer Walls and City/Municipality,Total Occupied Housing Units,Construction Materials of the Roof,Galvanized iron/aluminum,Tile/concrete/clay tile,Half galvanized iron and half concrete,Bamboo/cogon/ nipa/anahaw,Asbestos,Makeshift/ salvaged/ improvised materials,Trapal,Others,Not Reported
,,,,,,,,,,
NATIONAL CAPITAL REGION,,,,,,,,,,
Total,  2.968.651 ,  2.522.479 ,  196.380 ,  223.553 ,  5.880 ,  2.845 ,  8.938 ,  6.100 ,  2.105 ,  371 
Concrete/brick/stone,  1.996.376 ,  1.786.599 ,173.355,  33.435 ,  190 ,1.928,226,129,514,  -   
Wood,  327.593 ,  279.929 ,  10.444 ,  28.260 ,3.704,  485 ,  2.079 ,  1.685 ,  1.005 ,  2 
Half concrete/brick/stone and half wood,  611.058 ,  437.499 ,  12.005 ,  159.641 ,  462 ,  340 ,  721 ,  134 ,  256 ,  -   
Galvanized iron/aluminum,  13.269 ,  10.929 ,  457 ,  1.676 ,  119 ,  14 ,  38 ,  16 ,  20 ,  -   
Bamboo/sawali/cogon/nipa,  2.243 ,  622 ,  -   ,  55 ,  1.323 ,  -   ,  63 ,  179 ,  1 ,  -   
Asbestos,  541 ,  459 ,  5 ,  13 ,  -   ,  64 ,  -   ,  -   ,  -   ,  -   
Glass,  182 ,  108 ,  42 ,  24 ,  -   ,  8 ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  8.343 ,  1.901 ,  -   ,  141 ,  33 ,  -   ,  5.472 ,  772 ,  22 ,  2 
Trapal,  3.658 ,  398 ,  -   ,  -   ,  41 ,  -   ,  241 ,  2.971 ,  7 ,  -   
Others,  471 ,  248 ,  10 ,  6 ,  1 ,  -   ,  7 ,  24 ,  175 ,  -   
No walls,  445 ,  106 ,  6 ,  1 ,  -   ,  -   ,  76 ,  177 ,  79 ,  -   
Not Reported,  4.472 ,  3.681 ,  56 ,  301 ,  7 ,  6 ,  15 ,  13 ,  26 ,  367 
METROPOLITAN MANILA,,,,,,,,,,
Total,  2.968.651 ,  2.522.479 ,  196.380 ,  223.553 ,  5.880 ,  2.845 ,  8.938 ,  6.100 ,  2.105 ,  371 
Concrete/brick/stone,  1.996.376 ,  1.786.599 ,  173.355 ,  33.435 ,  190 ,  1.928 ,  226 ,  129 ,  514 ,  -   
