,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.2101,0.5879,0.5811,0.0498,0.0842,0.0876,0.0844,0.0604,0.0915,Dagupan
1,Local Economy Growth,1.1076,0.2789,0.2726,0.0498,0.1010,0.1202,0.5795,0.0245,0.0212,Dagupan
2,Active Establishments in the Locality,-,-,-,1.0362,1.0808,0.6180,0.3621,0.5427,0.5556,Dagupan
3,Safety Compliant Business,-,-,-,0.5706,0.5302,0.5569,0.9677,0.5124,0.4137,Dagupan
4,Employment Generation,0.2221,0.8264,1.8677,0.4275,0.2217,0.4179,0.5015,0.5848,0.0766,Dagupan
5,Cost of Living,2.8205,2.6268,3.0833,1.5517,1.9898,0.5159,1.8310,1.3312,1.2051,Dagupan
6,Cost of Doing Business,3.4863,3.6957,3.8436,2.2038,2.1027,2.0454,1.9500,2.1207,1.43,Dagupan
7,Financial Deepening,0.4909,1.2143,2.5072,1.5467,2.5000,0.7747,0.7117,0.7709,0.7168,Dagupan
8,Productivity,0.0770,0.1895,0.1762,0.0102,0.0834,0.3787,0.4501,0.4831,0.0789,Dagupan
9,Presence of Business and Professional Organizations,0.2415,0.2398,0.6881,0.0359,0.0298,0.0224,0.0478,0.0949,0.1548,Dagupan
10,Compliance to National Directives,3.3333,3.3333,3.1373,2.2222,2.4306,2.3611,2.3438,2.5000,1.9286,Dagupan
11,Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.9048,Dagupan
12,Compliance to ARTA Citizens Charter,-,2.3148,2.3958,1.9303,2.1022,2.2673,2.3717,2.2375,2.0,Dagupan
13,Capacity to Generate Local Resource,0.4219,1.3518,0.6396,0.9931,0.3560,0.2012,0.1950,0.2161,0.2923,Dagupan
14,Capacity of Health Services,0.8700,1.5420,1.7052,1.0469,1.7254,1.1814,0.9433,1.0325,1.0246,Dagupan
15,Capacity of School Services,0.7204,0.7746,0.4120,0.3500,0.3245,0.4949,0.6161,0.4727,0.2424,Dagupan
16,Recognition of Performance,0.0000,0.1163,0.5622,0.3500,0.5400,0.4229,0.2097,0.9010,0.4501,Dagupan
17,Getting Business Permits,-,-,3.0982,2.3198,2.2446,1.5971,2.3785,2.1515,2.0,Dagupan
18,Peace and Order,0.5420,0.4284,0.9243,0.4035,0.1374,0.1609,0.1848,0.0752,0.0001,Dagupan
19,Social Protection,-,-,0.2292,0.8372,1.5025,0.7170,0.3359,0.6021,0.0006,Dagupan
20,Road Network,0.2955,0.0034,0.9161,0.0164,0.5842,0.0239,0.0130,0.0080,0.0078,Dagupan
21,Distance to Ports,1.6101,2.8314,2.8715,2.0423,1.7614,2.2809,2.2973,1.7902,1.5036,Dagupan
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.5000,2.3670,2.0416,2.4784,1.5414,Dagupan
23,Transportation Vehicles,0.3069,0.6224,0.4260,0.3932,0.3588,0.3546,0.3589,0.3044,0.1558,Dagupan
24,Education,0.3075,0.4922,0.6926,0.5712,0.6835,0.6801,0.5709,0.6695,0.4935,Dagupan
25,Health,0.2128,1.5228,1.7160,1.5332,1.1725,0.8940,0.8514,0.7848,0.5957,Dagupan
26,LGU Investment,0.8117,0.3879,0.0000,0.5295,0.0000,0.5181,0.3271,0.0704,0.0028,Dagupan
27,Accommodation Capacity,0.0643,0.0000,0.0208,0.2716,0.2777,0.0161,0.0167,0.3699,0.53,Dagupan
28,Information Technology Capacity,0.2483,0.8873,0.4419,0.5605,0.7018,0.4456,0.5339,1.1458,0.1253,Dagupan
29,Financial Technology Capacity,0.3084,1.3973,1.3280,0.9377,0.9358,0.9520,0.9364,0.6561,0.5748,Dagupan
30,Land Use Plan,-,-,-,2.5000,2.5000,2.4993,2.4318,2.4200,1.9762,Dagupan
31,Disaster Risk Reduction Plan,-,-,-,2.5000,2.5000,2.4405,2.5000,2.5000,1.9444,Dagupan
32,Annual Disaster Drill,-,-,-,2.5000,2.5000,2.2917,2.5000,1.5135,1.3835,Dagupan
33,Early Warning System,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2746,1.0283,Dagupan
34,Budget for DRRMP,-,-,-,0.0639,0.0000,0.5666,0.3370,0.1503,0.0769,Dagupan
35,Local Risk Assessments,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0,Dagupan
36,Emergency Infrastructure,-,-,-,1.2222,1.0064,0.8106,0.8542,0.5845,0.594,Dagupan
37,Utilities,-,-,-,1.0285,1.7406,1.8984,1.8920,1.2655,1.5045,Dagupan
38,Employed Population,-,-,-,0.4729,0.1465,0.1029,0.0769,0.1810,0.199,Dagupan
39,Sanitary System,-,-,-,1.0000,1.5316,1.9839,1.4909,1.8761,1.5008,Dagupan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.1708,Dagupan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Dagupan
42,STEM graduates,-,-,-,-,-,-,-,-,0.1298,Dagupan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0773,Dagupan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Dagupan
45,Internet Capability,-,-,-,-,-,-,-,-,1.0241,Dagupan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.2571,Dagupan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Dagupan
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Dagupan
49,New Technology,-,-,-,-,-,-,-,-,0.0307,Dagupan
