,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.2144,0.0000,0.0003,0.0001,0.0001,0.0010,0.0002,Presentacion
1,Local Economy Growth,-,-,0.0888,0.0000,0.0201,0.0003,1.0260,0.0226,0.0009,Presentacion
2,Active Establishments in the Locality,-,-,-,0.0000,0.0000,0.2897,0.2115,0.3113,0.2715,Presentacion
3,Safety Compliant Business,-,-,-,0.0001,0.0047,0.2529,0.2550,0.2098,0.3525,Presentacion
4,Employment Generation,-,-,0.0000,0.1344,0.0000,0.1361,0.0882,0.0971,0.2875,Presentacion
5,Cost of Living,-,-,3.2500,1.0776,2.1759,1.2500,0.6771,0.0938,1.9984,Presentacion
6,Cost of Doing Business,-,-,0.3713,1.4930,1.8435,2.0444,2.3049,2.3457,1.8984,Presentacion
7,Financial Deepening,-,-,0.0772,0.0397,0.0084,0.0046,0.0316,0.0391,0.0,Presentacion
8,Productivity,-,-,0.0000,0.0000,0.0000,0.0838,0.0378,0.0658,0.1061,Presentacion
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Presentacion
10,Compliance to National Directives,-,-,2.5842,2.4013,0.0000,2.4994,2.4643,2.4643,0.0,Presentacion
11,Presence of Investment Promotion Unit,-,-,0.8333,0.0000,0.0000,2.5000,1.8750,2.5000,1.9991,Presentacion
12,Compliance to ARTA Citizens Charter,-,-,1.7048,1.7793,0.0000,2.3742,2.4981,2.2126,2.0,Presentacion
13,Capacity to Generate Local Resource,-,-,0.0000,1.2560,0.0000,0.0000,0.0000,0.0074,0.0046,Presentacion
14,Capacity of Health Services,-,-,0.0457,0.0814,0.0000,0.0250,0.0000,0.0343,0.0167,Presentacion
15,Capacity of School Services,-,-,0.0000,0.1003,0.0000,0.1926,0.0397,0.0475,0.0077,Presentacion
16,Recognition of Performance,-,-,0.0000,0.1003,0.0000,0.1389,0.0652,0.0000,0.0,Presentacion
17,Getting Business Permits,-,-,1.1111,1.4283,0.0000,1.6107,1.6626,1.8654,1.5,Presentacion
18,Peace and Order,-,-,0.1738,0.2769,0.0000,0.2074,0.3061,0.0739,0.0002,Presentacion
19,Social Protection,-,-,0.0000,0.2506,0.0000,0.4718,0.4115,0.0000,1.2035,Presentacion
20,Road Network,-,-,0.0005,0.0000,0.0000,0.0948,0.0001,0.0822,0.0003,Presentacion
21,Distance to Ports,-,-,0.0000,0.0000,0.0000,0.0000,1.9574,2.2094,1.9992,Presentacion
22,Availability of Basic Utilities,-,-,0.0000,2.5000,0.0000,2.3438,2.0938,0.0000,0.3553,Presentacion
23,Transportation Vehicles,-,-,0.1232,0.0091,0.0000,0.0019,0.4663,0.0086,0.0006,Presentacion
24,Education,-,-,0.0694,0.1708,0.0000,0.0425,0.6082,0.0520,0.0631,Presentacion
25,Health,-,-,0.1329,0.0178,0.0000,0.0068,0.6803,0.0246,0.0073,Presentacion
26,LGU Investment,-,-,0.0000,0.0000,0.0000,0.0505,0.0339,0.0813,0.0007,Presentacion
27,Accommodation Capacity,-,-,0.0654,0.0000,0.0000,0.0104,0.1135,0.0000,0.0,Presentacion
28,Information Technology Capacity,-,-,0.8360,0.2579,0.0000,0.1764,0.0833,0.1630,0.1304,Presentacion
29,Financial Technology Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Presentacion
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4872,2.5000,2.4857,1.973,Presentacion
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4853,1.9998,Presentacion
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,1.2500,2.5000,1.2829,1.002,Presentacion
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2575,1.0099,Presentacion
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.1028,0.0273,0.0023,0.0,Presentacion
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,1.0,Presentacion
36,Emergency Infrastructure,-,-,-,0.8475,0.0000,0.4286,0.4293,0.2167,0.3471,Presentacion
37,Utilities,-,-,-,1.0235,0.0000,1.8835,1.8786,1.2495,1.4997,Presentacion
38,Employed Population,-,-,-,0.1457,0.0000,0.1121,0.0028,0.0087,0.0045,Presentacion
39,Sanitary System,-,-,-,1.0056,0.0000,1.0152,1.1971,1.2500,1.0,Presentacion
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Presentacion
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Presentacion
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Presentacion
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Presentacion
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Presentacion
45,Internet Capability,-,-,-,-,-,-,-,-,1.0652,Presentacion
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Presentacion
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Presentacion
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Presentacion
49,New Technology,-,-,-,-,-,-,-,-,0.0,Presentacion
