,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.0000,1.1527,0.1377,0.0290,0.0223,0.0041,0.0087,0.0300,0.0119,Lupon
1,Local Economy Growth,0.0000,0.3199,0.0801,0.0079,0.0098,0.0016,0.3313,0.0032,0.0,Lupon
2,Active Establishments in the Locality,-,-,-,0.1634,0.2381,0.1395,0.1807,0.1906,0.1578,Lupon
3,Safety Compliant Business,-,-,-,0.1172,0.1609,0.1252,0.1074,0.1000,0.0,Lupon
4,Employment Generation,0.0000,0.1630,0.1487,0.0940,0.0935,0.1341,0.1934,0.1517,0.1148,Lupon
5,Cost of Living,3.2567,3.2461,1.6667,1.1486,1.1111,0.7143,1.5948,2.0313,1.8317,Lupon
6,Cost of Doing Business,1.9135,3.5059,3.3682,2.2242,2.1367,1.7352,1.9533,2.0907,1.8639,Lupon
7,Financial Deepening,0.0000,0.9669,0.8832,0.6313,0.0847,0.2898,0.2736,0.2291,0.249,Lupon
8,Productivity,0.0000,4.1667,0.0020,0.0130,0.0035,0.0010,0.1591,0.1343,0.092,Lupon
9,Presence of Business and Professional Organizations,0.0000,0.0048,0.0031,0.0064,0.0621,0.0333,0.0398,0.0440,0.0235,Lupon
10,Compliance to National Directives,3.3333,3.3333,3.3041,2.3718,0.0000,2.3000,2.4621,2.3214,1.8571,Lupon
11,Presence of Investment Promotion Unit,0.0000,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9488,Lupon
12,Compliance to ARTA Citizens Charter,-,2.8639,1.5554,2.2506,0.0000,2.3552,2.4450,2.1435,2.0,Lupon
13,Capacity to Generate Local Resource,0.6154,0.6601,1.7341,0.0586,0.0000,0.2684,0.2616,0.0112,0.0065,Lupon
14,Capacity of Health Services,0.0000,0.3339,0.3374,0.2423,0.0000,0.1514,0.1412,0.2359,0.0027,Lupon
15,Capacity of School Services,0.0000,0.6582,0.2501,0.3039,0.0000,0.2328,0.0834,0.1100,0.0165,Lupon
16,Recognition of Performance,0.4545,0.0794,0.0505,0.3039,0.0000,0.4158,0.0887,0.0340,0.0959,Lupon
17,Getting Business Permits,-,-,0.0000,2.2944,0.0000,2.4875,2.4814,2.1365,2.0,Lupon
18,Peace and Order,0.5750,0.1357,0.0570,0.3642,0.0000,0.0431,0.0527,0.0531,0.0001,Lupon
19,Social Protection,-,-,0.0000,0.4878,0.0000,0.1172,0.4986,0.3993,0.0011,Lupon
20,Road Network,0.0000,0.0003,0.0003,0.0002,0.0000,0.1187,0.0038,0.2032,0.0002,Lupon
21,Distance to Ports,2.9455,3.0202,2.2204,2.1527,0.0000,2.4259,2.4977,2.2751,1.9377,Lupon
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,0.0000,2.4874,2.4875,2.4857,0.1062,Lupon
23,Transportation Vehicles,0.0000,0.0606,0.1032,0.0627,0.0000,0.0194,0.0172,0.0117,0.0209,Lupon
24,Education,0.0625,0.3513,0.0948,0.1199,0.0000,0.1408,0.1087,0.0867,0.0601,Lupon
25,Health,0.0000,0.1445,0.1170,0.0465,0.0000,0.0871,0.1055,0.1927,0.1757,Lupon
26,LGU Investment,0.8873,1.4546,0.2673,0.4945,0.0000,0.3921,0.2098,0.0283,0.0007,Lupon
27,Accommodation Capacity,0.0000,0.0895,0.0117,0.0488,0.0000,0.0762,0.0735,0.0025,0.0207,Lupon
28,Information Technology Capacity,0.0000,0.7014,1.0338,0.5320,0.0000,0.3127,0.4134,0.1818,0.0793,Lupon
29,Financial Technology Capacity,0.0000,0.0370,0.0347,0.0497,0.0000,0.0696,0.0676,0.0676,0.0517,Lupon
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4487,2.5000,2.4773,1.9697,Lupon
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.4074,2.4737,1.9998,Lupon
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2583,1.008,Lupon
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2591,1.0074,Lupon
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.2751,0.1716,0.0215,0.0,Lupon
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Lupon
36,Emergency Infrastructure,-,-,-,0.9278,0.0000,0.4691,0.5171,0.2786,0.3894,Lupon
37,Utilities,-,-,-,0.9970,0.0000,1.8814,1.8770,1.2572,1.505,Lupon
38,Employed Population,-,-,-,0.2631,0.0000,0.1001,0.0964,0.0652,0.0829,Lupon
39,Sanitary System,-,-,-,1.6586,0.0000,1.9878,1.9855,1.8755,1.5005,Lupon
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0002,Lupon
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Lupon
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Lupon
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0029,Lupon
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Lupon
45,Internet Capability,-,-,-,-,-,-,-,-,0.0429,Lupon
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0115,Lupon
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Lupon
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Lupon
49,New Technology,-,-,-,-,-,-,-,-,0.0,Lupon
