,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.2306,0.7954,0.0024,0.0358,0.0514,0.2447,0.1250,0.0148,Santo Tomas (PA)
1,Local Economy Growth,-,0.2580,0.3230,0.0011,0.0532,0.0013,1.0285,0.0018,0.0007,Santo Tomas (PA)
2,Active Establishments in the Locality,-,-,-,0.0000,0.0076,0.4286,0.5984,0.7282,0.5291,Santo Tomas (PA)
3,Safety Compliant Business,-,-,-,0.4419,0.2407,0.0000,0.4542,0.4832,0.3244,Santo Tomas (PA)
4,Employment Generation,-,1.9956,0.7651,0.9341,0.2303,0.4388,0.4385,0.5506,0.7313,Santo Tomas (PA)
5,Cost of Living,-,2.5641,2.6667,1.5086,1.8519,2.2500,0.8854,1.0313,1.9993,Santo Tomas (PA)
6,Cost of Doing Business,-,2.5120,2.8674,1.5304,0.6018,0.1130,0.7752,1.7795,1.5617,Santo Tomas (PA)
7,Financial Deepening,-,0.9887,1.1574,0.1852,0.0503,0.1103,0.1811,0.2272,0.0439,Santo Tomas (PA)
8,Productivity,-,0.0005,0.0431,0.0000,0.0100,0.5376,0.5279,0.5350,0.3424,Santo Tomas (PA)
9,Presence of Business and Professional Organizations,-,0.0071,0.0130,0.0010,0.0000,0.0000,0.0000,0.0000,0.0,Santo Tomas (PA)
10,Compliance to National Directives,-,3.3333,3.2323,2.3684,0.0000,2.4988,2.4286,2.4643,1.9615,Santo Tomas (PA)
11,Presence of Investment Promotion Unit,-,1.6667,3.3333,1.2500,0.0000,0.0000,2.5000,2.5000,1.9994,Santo Tomas (PA)
12,Compliance to ARTA Citizens Charter,-,2.8870,1.5528,2.3461,0.0000,2.3681,2.4855,1.8248,2.0,Santo Tomas (PA)
13,Capacity to Generate Local Resource,-,0.0000,0.1854,0.1755,0.0000,0.0839,0.0780,0.0745,0.082,Santo Tomas (PA)
14,Capacity of Health Services,-,0.1383,0.1330,0.0785,0.0000,0.0297,0.0519,0.1050,0.0255,Santo Tomas (PA)
15,Capacity of School Services,-,0.4833,0.5837,0.2900,0.0000,0.5132,0.0638,0.0000,0.0014,Santo Tomas (PA)
16,Recognition of Performance,-,0.0000,0.0877,0.2900,0.0000,0.0940,0.2775,0.0000,0.0,Santo Tomas (PA)
17,Getting Business Permits,-,-,0.0000,1.5436,0.0000,1.5226,1.4789,2.1827,1.5,Santo Tomas (PA)
18,Peace and Order,-,0.1273,0.0995,0.1292,0.0000,0.2765,0.3827,0.1293,0.1515,Santo Tomas (PA)
19,Social Protection,-,-,0.0924,0.0072,0.0000,1.0841,0.9222,0.1618,1.0264,Santo Tomas (PA)
20,Road Network,-,0.0002,0.0073,0.0011,0.0000,0.0096,0.0002,0.0060,0.0022,Santo Tomas (PA)
21,Distance to Ports,-,1.0978,2.1311,1.6383,0.0000,0.8333,2.2260,2.3758,1.9053,Santo Tomas (PA)
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4375,2.1875,2.4750,0.4585,Santo Tomas (PA)
23,Transportation Vehicles,-,0.2114,0.1080,0.0701,0.0000,0.0055,0.0083,0.0000,0.0,Santo Tomas (PA)
24,Education,-,0.3316,0.1861,0.1482,0.0000,0.0080,0.0301,0.0735,0.0334,Santo Tomas (PA)
25,Health,-,0.4367,0.5371,0.2782,0.0000,0.0481,0.0531,0.1047,0.1362,Santo Tomas (PA)
26,LGU Investment,-,0.7422,0.5110,0.1332,0.0000,0.0000,0.0971,0.1374,0.0003,Santo Tomas (PA)
27,Accommodation Capacity,-,0.0667,0.0713,0.0257,0.0000,0.0040,0.0136,0.0035,0.0098,Santo Tomas (PA)
28,Information Technology Capacity,-,0.6175,1.3122,0.3671,0.0000,0.3194,0.6065,0.1087,0.1304,Santo Tomas (PA)
29,Financial Technology Capacity,-,0.0000,0.0000,0.2500,0.0000,0.3125,0.5000,0.2083,0.1818,Santo Tomas (PA)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4615,2.4615,2.4429,1.9324,Santo Tomas (PA)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4537,2.5000,1.9998,Santo Tomas (PA)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,0.0000,1.002,Santo Tomas (PA)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2575,1.0079,Santo Tomas (PA)
34,Budget for DRRMP,-,-,-,0.0019,0.0000,0.0661,0.0441,0.0022,0.0,Santo Tomas (PA)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Santo Tomas (PA)
36,Emergency Infrastructure,-,-,-,0.8640,0.0000,0.4461,0.4551,0.2685,0.3912,Santo Tomas (PA)
37,Utilities,-,-,-,0.6944,0.0000,1.8747,1.8780,0.7691,1.0023,Santo Tomas (PA)
38,Employed Population,-,-,-,0.0587,0.0000,0.0146,0.0217,0.0201,0.0052,Santo Tomas (PA)
39,Sanitary System,-,-,-,0.5833,0.0000,1.0473,1.9127,1.8751,1.5,Santo Tomas (PA)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Santo Tomas (PA)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Santo Tomas (PA)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Santo Tomas (PA)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0412,Santo Tomas (PA)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Santo Tomas (PA)
45,Internet Capability,-,-,-,-,-,-,-,-,1.0652,Santo Tomas (PA)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Santo Tomas (PA)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Santo Tomas (PA)
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Santo Tomas (PA)
49,New Technology,-,-,-,-,-,-,-,-,0.0,Santo Tomas (PA)
