,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,1.6354,1.2706,1.0482,0.0439,0.2380,0.1438,0.0478,0.1083,0.0626,La Trinidad
1,Local Economy Growth,0.3510,0.5276,0.0671,0.0012,0.0046,0.0014,0.3293,0.0027,0.0,La Trinidad
2,Active Establishments in the Locality,-,-,-,0.2414,2.2066,1.2221,1.7309,1.9102,1.6559,La Trinidad
3,Safety Compliant Business,-,-,-,1.0256,1.2920,1.2767,1.2573,1.2721,0.0,La Trinidad
4,Employment Generation,1.9318,0.3907,0.2756,0.1441,0.0558,0.4338,0.5355,0.6455,0.4196,La Trinidad
5,Cost of Living,3.4004,3.1008,2.7500,1.9595,2.0833,1.8254,1.6810,1.5625,1.7356,La Trinidad
6,Cost of Doing Business,3.2439,3.1622,3.3724,2.1219,2.0760,1.8510,2.0542,2.1446,1.7906,La Trinidad
7,Financial Deepening,0.8613,1.4733,1.9022,1.2374,0.1491,0.6424,0.7322,0.7140,0.5541,La Trinidad
8,Productivity,0.0000,0.0170,0.0057,0.0578,0.0591,0.0045,0.3499,0.4711,0.2665,La Trinidad
9,Presence of Business and Professional Organizations,0.0301,0.0718,0.1080,0.0473,0.0638,0.1979,0.4742,0.0290,0.014,La Trinidad
10,Compliance to National Directives,1.6667,3.3333,2.8655,1.8910,0.0000,2.4500,2.5000,2.4405,1.8929,La Trinidad
11,Presence of Investment Promotion Unit,0.0000,2.5000,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.8719,La Trinidad
12,Compliance to ARTA Citizens Charter,-,2.3768,1.9401,1.0135,0.0000,2.0691,2.3246,1.6466,2.0,La Trinidad
13,Capacity to Generate Local Resource,0.7452,0.7998,0.8346,0.7269,0.0000,0.3349,0.5192,0.0466,0.0263,La Trinidad
14,Capacity of Health Services,0.5576,0.7212,0.7749,0.4660,0.0000,0.6784,0.6657,0.5879,0.0071,La Trinidad
15,Capacity of School Services,0.4758,0.7487,0.5050,0.1902,0.0000,0.6112,0.4387,0.5456,0.07,La Trinidad
16,Recognition of Performance,0.0000,0.3968,1.8687,0.1902,0.0000,1.1896,0.5759,0.1838,0.1154,La Trinidad
17,Getting Business Permits,-,-,1.1111,2.2870,0.0000,2.4840,1.6432,1.8215,1.0,La Trinidad
18,Peace and Order,0.9565,0.1436,0.1209,0.5840,0.0000,0.1090,0.2383,0.5406,0.0001,La Trinidad
19,Social Protection,-,-,0.5975,0.0000,0.0000,0.5275,0.5487,0.5382,0.0008,La Trinidad
20,Road Network,0.0141,0.0042,0.0044,0.0023,0.0000,0.0129,0.0001,0.0181,0.001,La Trinidad
21,Distance to Ports,3.0246,2.8313,3.0236,2.2949,0.0000,2.4713,2.3125,2.3635,1.6203,La Trinidad
22,Availability of Basic Utilities,2.4967,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,1.4158,0.0725,La Trinidad
23,Transportation Vehicles,0.0736,0.1066,0.1751,0.0999,0.0000,0.0776,0.0752,0.1327,0.0198,La Trinidad
24,Education,0.5169,0.6252,0.2165,0.2776,0.0000,0.1390,0.3732,0.3984,0.4769,La Trinidad
25,Health,1.4166,1.0416,0.9191,0.6073,0.0000,0.4849,0.6624,0.6794,0.5689,La Trinidad
26,LGU Investment,1.5818,0.4389,0.4340,0.3587,0.0000,0.4362,0.2610,0.0511,0.001,La Trinidad
27,Accommodation Capacity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0137,La Trinidad
28,Information Technology Capacity,0.4444,0.6360,1.1449,0.6047,0.0000,0.4025,0.4365,0.1364,0.1322,La Trinidad
29,Financial Technology Capacity,0.4131,0.5979,0.6990,0.5428,0.0000,0.6134,0.6716,0.6956,0.2931,La Trinidad
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4615,2.4615,2.4773,1.9091,La Trinidad
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.4074,2.4737,1.9995,La Trinidad
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2667,1.006,La Trinidad
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2591,1.005,La Trinidad
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.3304,0.2551,0.0194,0.0,La Trinidad
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,La Trinidad
36,Emergency Infrastructure,-,-,-,0.9431,0.0000,0.6422,0.6328,0.3563,0.4115,La Trinidad
37,Utilities,-,-,-,0.9926,0.0000,1.8793,1.8788,1.2697,1.5147,La Trinidad
38,Employed Population,-,-,-,0.3007,0.0000,0.3840,0.5757,0.6616,0.0897,La Trinidad
39,Sanitary System,-,-,-,1.5000,0.0000,2.1978,2.0350,1.8753,1.5002,La Trinidad
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.3294,La Trinidad
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0007,La Trinidad
42,STEM graduates,-,-,-,-,-,-,-,-,0.0539,La Trinidad
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.685,La Trinidad
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,La Trinidad
45,Internet Capability,-,-,-,-,-,-,-,-,0.0714,La Trinidad
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0381,La Trinidad
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,La Trinidad
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,La Trinidad
49,New Technology,-,-,-,-,-,-,-,-,0.0,La Trinidad
