,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,0.0004,0.0042,0.0055,0.0095,0.0054,0.0011,Dumalag
1,Local Economy Growth,-,-,-,0.0013,0.0635,0.0011,1.0260,0.0011,0.0003,Dumalag
2,Active Establishments in the Locality,-,-,-,0.0678,0.0022,0.0943,0.6306,0.6989,0.1967,Dumalag
3,Safety Compliant Business,-,-,-,0.1601,0.0897,0.2368,0.3019,0.2528,0.1729,Dumalag
4,Employment Generation,-,-,-,0.0007,0.0000,0.0040,0.0031,0.0009,0.0077,Dumalag
5,Cost of Living,-,-,-,1.8966,2.0833,1.7500,0.4167,1.5000,1.9989,Dumalag
6,Cost of Doing Business,-,-,-,2.1588,2.0261,2.1641,2.2884,2.3633,1.9012,Dumalag
7,Financial Deepening,-,-,-,0.3307,0.1174,0.2393,0.2944,0.3062,0.0954,Dumalag
8,Productivity,-,-,-,0.1001,0.9221,0.0082,0.0114,0.0055,0.0022,Dumalag
9,Presence of Business and Professional Organizations,-,-,-,0.0059,0.0066,0.0316,0.0789,0.0335,0.0264,Dumalag
10,Compliance to National Directives,-,-,-,2.2697,0.0000,2.4975,2.4286,2.3571,1.8462,Dumalag
11,Presence of Investment Promotion Unit,-,-,-,0.0000,0.0000,1.8750,2.5000,2.5000,1.9978,Dumalag
12,Compliance to ARTA Citizens Charter,-,-,-,2.3835,0.0000,2.3688,2.4973,2.0471,2.0,Dumalag
13,Capacity to Generate Local Resource,-,-,-,0.2241,0.0000,0.0284,0.0792,0.0456,0.0573,Dumalag
14,Capacity of Health Services,-,-,-,0.1119,0.0000,0.0695,0.0756,0.0773,0.0288,Dumalag
15,Capacity of School Services,-,-,-,0.3061,0.0000,0.4054,0.0724,0.0639,0.01,Dumalag
16,Recognition of Performance,-,-,-,0.3061,0.0000,0.2328,0.2722,0.6077,0.2806,Dumalag
17,Getting Business Permits,-,-,-,1.2653,0.0000,1.5871,2.4958,1.2404,1.5,Dumalag
18,Peace and Order,-,-,-,0.2896,0.0000,0.4032,0.3827,0.1293,0.0002,Dumalag
19,Social Protection,-,-,-,0.0768,0.0000,0.8294,0.9053,0.1081,0.884,Dumalag
20,Road Network,-,-,-,0.0010,0.0000,0.1340,0.0003,0.0502,0.0002,Dumalag
21,Distance to Ports,-,-,-,2.4289,0.0000,2.3860,2.3298,2.3928,1.96,Dumalag
22,Availability of Basic Utilities,-,-,-,2.5000,0.0000,1.8348,1.6013,1.8513,0.3773,Dumalag
23,Transportation Vehicles,-,-,-,0.0514,0.0000,0.0143,0.0230,0.0432,0.0068,Dumalag
24,Education,-,-,-,0.1874,0.0000,0.1287,0.1397,0.1407,0.1329,Dumalag
25,Health,-,-,-,0.0554,0.0000,0.1832,0.1504,0.2031,0.1272,Dumalag
26,LGU Investment,-,-,-,0.0436,0.0000,0.0557,0.0376,0.1333,0.0,Dumalag
27,Accommodation Capacity,-,-,-,0.0148,0.0000,0.0136,0.0140,0.0106,0.0209,Dumalag
28,Information Technology Capacity,-,-,-,0.9921,0.0000,0.4318,0.7639,0.2717,0.1304,Dumalag
29,Financial Technology Capacity,-,-,-,0.1563,0.0000,0.0543,0.2813,0.3175,0.1364,Dumalag
30,Land Use Plan,-,-,-,2.5000,0.0000,2.2949,2.2949,2.2571,1.9459,Dumalag
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.3148,2.3148,2.4265,1.9993,Dumalag
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.3214,2.5000,1.2664,1.01,Dumalag
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2525,1.002,Dumalag
34,Budget for DRRMP,-,-,-,0.0019,0.0000,0.1070,0.0406,0.0020,0.0,Dumalag
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Dumalag
36,Emergency Infrastructure,-,-,-,0.9006,0.0000,0.5050,0.5280,0.3378,0.4377,Dumalag
37,Utilities,-,-,-,1.0161,0.0000,1.8758,1.8777,1.2732,1.5003,Dumalag
38,Employed Population,-,-,-,0.1113,0.0000,0.3242,0.2553,0.2364,0.061,Dumalag
39,Sanitary System,-,-,-,1.0556,0.0000,2.0220,1.9958,1.8751,1.5,Dumalag
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0513,Dumalag
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0003,Dumalag
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Dumalag
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Dumalag
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Dumalag
45,Internet Capability,-,-,-,-,-,-,-,-,1.0652,Dumalag
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Dumalag
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Dumalag
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Dumalag
49,New Technology,-,-,-,-,-,-,-,-,0.002,Dumalag
