,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.3141,0.1910,0.0009,0.0026,0.0077,0.0143,0.0072,0.0018,Manukan
1,Local Economy Growth,-,0.1218,0.0026,0.0073,0.0010,0.0029,1.0265,0.0012,0.0008,Manukan
2,Active Establishments in the Locality,-,-,-,0.0000,0.0017,0.1304,0.2791,0.3587,0.2636,Manukan
3,Safety Compliant Business,-,-,-,0.1345,0.1611,0.2986,0.3033,0.2069,0.16,Manukan
4,Employment Generation,-,0.0000,0.0729,0.0500,0.0000,0.1138,0.0901,0.2145,0.2207,Manukan
5,Cost of Living,-,2.8312,2.9167,0.6897,0.7407,1.5000,1.8229,2.3750,1.9983,Manukan
6,Cost of Doing Business,-,2.3135,3.4626,2.1264,1.8585,1.4549,2.2258,1.8994,1.8441,Manukan
7,Financial Deepening,-,0.8475,2.0062,0.1587,0.0923,0.2960,0.2879,0.3721,0.2789,Manukan
8,Productivity,-,0.0000,0.0163,0.0027,0.0000,0.0617,0.0419,0.1574,0.0988,Manukan
9,Presence of Business and Professional Organizations,-,0.0000,0.0130,0.0010,0.0000,0.0000,0.0000,0.0000,0.0053,Manukan
10,Compliance to National Directives,-,3.0000,3.2997,2.3684,0.0000,2.4988,2.4286,2.3571,1.8077,Manukan
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,2.5000,0.0000,2.5000,2.5000,2.5000,1.9984,Manukan
12,Compliance to ARTA Citizens Charter,-,0.0000,1.6438,2.3086,0.0000,2.3611,2.4761,2.2084,2.0,Manukan
13,Capacity to Generate Local Resource,-,0.0166,1.0927,0.0466,0.0000,0.0357,0.0332,0.0232,0.1664,Manukan
14,Capacity of Health Services,-,0.0959,0.1370,0.2151,0.0000,0.1335,0.1022,0.0540,0.0383,Manukan
15,Capacity of School Services,-,0.0000,0.6747,0.1655,0.0000,0.5640,0.0701,0.1111,0.0206,Manukan
16,Recognition of Performance,-,0.0000,0.0000,0.1655,0.0000,0.4003,0.1055,0.0000,0.0,Manukan
17,Getting Business Permits,-,-,0.0000,1.5852,0.0000,1.4607,1.4776,1.5556,0.5,Manukan
18,Peace and Order,-,0.1145,0.0594,0.1396,0.0000,0.2765,0.3699,0.1478,0.0002,Manukan
19,Social Protection,-,-,0.0976,0.9537,0.0000,0.9804,0.7527,0.0000,0.0183,Manukan
20,Road Network,-,0.0001,0.0047,0.0016,0.0000,0.1418,0.1558,0.0597,0.0,Manukan
21,Distance to Ports,-,3.0164,3.1251,2.3998,0.0000,2.3965,2.3339,2.3907,1.9646,Manukan
22,Availability of Basic Utilities,-,2.4965,3.3333,2.5000,0.0000,2.0421,1.9375,2.3438,0.4398,Manukan
23,Transportation Vehicles,-,0.0000,0.1754,0.1227,0.0000,0.0011,0.0176,0.0300,0.0055,Manukan
24,Education,-,0.2632,0.3054,0.2305,0.0000,0.0493,0.0724,0.1890,0.1784,Manukan
25,Health,-,0.1130,0.0643,0.0892,0.0000,0.0579,0.0611,0.0252,0.1202,Manukan
26,LGU Investment,-,0.6088,0.8561,0.0905,0.0000,0.1133,0.0745,0.1479,0.0004,Manukan
27,Accommodation Capacity,-,0.0499,0.1277,0.0066,0.0000,0.0000,0.0000,0.0000,0.0,Manukan
28,Information Technology Capacity,-,1.0662,1.0582,0.3770,0.0000,0.3097,0.3148,0.2174,0.2174,Manukan
29,Financial Technology Capacity,-,0.0000,0.2381,0.1563,0.0000,0.2106,0.6563,0.1587,0.282,Manukan
30,Land Use Plan,-,-,-,2.5000,0.0000,2.0000,2.4872,2.4429,1.973,Manukan
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4074,2.4559,1.9998,Manukan
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,1.2500,1.001,Manukan
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2575,1.0296,Manukan
34,Budget for DRRMP,-,-,-,0.0011,0.0000,0.1767,0.0577,0.0022,0.0,Manukan
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Manukan
36,Emergency Infrastructure,-,-,-,0.8884,0.0000,0.4826,0.5074,0.2933,0.4015,Manukan
37,Utilities,-,-,-,0.9738,0.0000,1.8700,1.8758,1.2558,1.2491,Manukan
38,Employed Population,-,-,-,0.1268,0.0000,0.1121,0.0207,0.0140,0.0099,Manukan
39,Sanitary System,-,-,-,1.5117,0.0000,1.6011,1.4979,1.8810,1.0,Manukan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0289,Manukan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Manukan
42,STEM graduates,-,-,-,-,-,-,-,-,0.0267,Manukan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Manukan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Manukan
45,Internet Capability,-,-,-,-,-,-,-,-,1.1087,Manukan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Manukan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Manukan
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Manukan
49,New Technology,-,-,-,-,-,-,-,-,0.0,Manukan
