,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0639,0.0119,0.0199,0.0252,0.0153,0.0286,0.0207,Arayat
1,Local Economy Growth,-,-,0.0000,0.0001,0.0272,0.0021,0.4404,0.0027,0.0,Arayat
2,Active Establishments in the Locality,-,-,-,0.2655,0.3974,0.1882,0.3529,0.3295,0.2828,Arayat
3,Safety Compliant Business,-,-,-,0.0059,0.3252,0.2182,0.2210,0.2590,0.0,Arayat
4,Employment Generation,-,-,0.0000,0.0583,0.1054,0.1854,0.1744,0.1725,0.1737,Arayat
5,Cost of Living,-,-,2.6667,1.7230,1.8519,1.9841,0.7328,1.0313,1.8365,Arayat
6,Cost of Doing Business,-,-,0.5924,0.2283,1.7474,1.7722,2.1514,2.0572,1.838,Arayat
7,Financial Deepening,-,-,0.4982,0.7449,0.0515,0.3684,0.3730,0.3410,0.3857,Arayat
8,Productivity,-,-,0.0000,0.0001,0.0000,0.0001,0.1018,0.1222,0.1212,Arayat
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Arayat
10,Compliance to National Directives,-,-,0.0000,0.0000,0.0000,2.2000,2.4621,2.3810,1.8929,Arayat
11,Presence of Investment Promotion Unit,-,-,0.0000,0.0000,0.0000,2.5000,2.5000,2.5000,1.9744,Arayat
12,Compliance to ARTA Citizens Charter,-,-,0.1507,2.2888,0.0000,2.4500,2.4808,2.1057,2.0,Arayat
13,Capacity to Generate Local Resource,-,-,0.9595,0.0000,0.0000,0.0474,0.0527,0.0089,0.0057,Arayat
14,Capacity of Health Services,-,-,0.0000,0.1675,0.0000,0.1518,0.1442,0.2748,0.0026,Arayat
15,Capacity of School Services,-,-,0.0000,0.1782,0.0000,0.4920,0.2324,0.1200,0.0038,Arayat
16,Recognition of Performance,-,-,0.1010,0.1782,0.0000,0.1979,0.0172,0.0000,0.3273,Arayat
17,Getting Business Permits,-,-,0.0000,1.3012,0.0000,1.6596,1.6527,1.8265,2.0,Arayat
18,Peace and Order,-,-,0.0051,0.1167,0.0000,0.0275,0.0275,0.0378,0.0,Arayat
19,Social Protection,-,-,0.5586,0.0015,0.0000,0.5213,0.5452,0.4255,0.0011,Arayat
20,Road Network,-,-,0.0000,0.0000,0.0000,0.0175,0.0002,0.0303,0.0007,Arayat
21,Distance to Ports,-,-,0.9751,0.7345,0.0000,1.5506,2.2773,2.4175,1.7269,Arayat
22,Availability of Basic Utilities,-,-,0.0000,0.0000,0.0000,2.3750,2.3750,2.3437,0.1001,Arayat
23,Transportation Vehicles,-,-,0.0000,0.0000,0.0000,0.0304,0.0286,0.0152,0.0431,Arayat
24,Education,-,-,0.0000,0.1559,0.0000,0.1302,0.1251,0.0894,0.0897,Arayat
25,Health,-,-,0.0000,0.2263,0.0000,0.2644,0.2374,0.4052,0.2689,Arayat
26,LGU Investment,-,-,0.0000,0.0000,0.0000,0.4049,0.2138,0.0332,0.0008,Arayat
27,Accommodation Capacity,-,-,0.0005,0.0000,0.0000,0.0000,0.0000,0.0018,0.0086,Arayat
28,Information Technology Capacity,-,-,0.4783,0.1883,0.0000,0.2193,0.2216,0.2727,0.0705,Arayat
29,Financial Technology Capacity,-,-,0.1072,0.0000,0.0000,0.0937,0.1352,0.2178,0.0776,Arayat
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4615,2.4872,2.4318,1.9242,Arayat
31,Disaster Risk Reduction Plan,-,-,-,0.0000,0.0000,2.4537,2.5000,2.4474,1.9993,Arayat
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,1.2500,2.5000,1.2667,1.008,Arayat
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2518,1.0025,Arayat
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.2695,0.1840,0.0211,0.0,Arayat
35,Local Risk Assessments,-,-,-,0.0000,0.0000,2.5000,2.5000,2.5000,2.0,Arayat
36,Emergency Infrastructure,-,-,-,0.0021,0.0000,0.5292,0.4807,0.2594,0.3763,Arayat
37,Utilities,-,-,-,0.0000,0.0000,1.8737,1.8735,1.2625,1.5037,Arayat
38,Employed Population,-,-,-,0.0000,0.0000,0.1224,0.0034,0.0037,0.0044,Arayat
39,Sanitary System,-,-,-,0.0000,0.0000,2.0141,1.9360,1.8753,1.5002,Arayat
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0392,Arayat
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Arayat
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Arayat
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0118,Arayat
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Arayat
45,Internet Capability,-,-,-,-,-,-,-,-,0.0381,Arayat
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Arayat
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Arayat
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Arayat
49,New Technology,-,-,-,-,-,-,-,-,0.0,Arayat
