,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.2750,0.4261,0.3315,0.0506,0.0000,0.0263,0.0155,0.0398,0.0217,Angeles
1,Local Economy Growth,1.2442,1.0554,0.8897,0.4521,0.0000,0.8401,1.1385,0.4880,0.1838,Angeles
2,Active Establishments in the Locality,-,-,-,0.2001,0.0000,0.0000,0.6099,0.4463,0.4669,Angeles
3,Safety Compliant Business,-,-,-,0.4781,0.0000,0.0237,0.0948,0.2778,0.2848,Angeles
4,Employment Generation,0.9037,0.9695,0.7073,0.4172,0.0000,0.0000,0.0991,0.1998,0.1683,Angeles
5,Cost of Living,2.3718,1.7045,2.2619,1.8519,2.0833,2.5000,0.7813,0.3922,1.4706,Angeles
6,Cost of Doing Business,1.1591,3.4844,3.2581,1.8393,0.8310,1.7315,1.6757,1.6738,1.6241,Angeles
7,Financial Deepening,1.0139,0.8601,0.6590,0.3685,0.3039,0.3009,0.3464,0.3737,0.3044,Angeles
8,Productivity,0.0674,0.0263,0.0136,0.0183,0.0000,0.0148,0.1018,0.1861,0.1172,Angeles
9,Presence of Business and Professional Organizations,0.3623,0.0542,0.0737,0.0294,0.0000,0.0105,0.0186,0.0281,0.0087,Angeles
10,Compliance to National Directives,3.0000,3.3333,3.0159,2.0625,1.9531,2.4038,2.4038,2.1429,1.2,Angeles
11,Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.7778,Angeles
12,Compliance to ARTA Citizens Charter,-,2.2331,1.2596,0.8704,1.2822,1.4563,1.2482,1.2486,2.0,Angeles
13,Capacity to Generate Local Resource,1.7893,2.0232,1.3300,0.9439,0.5076,0.1423,0.1410,0.0766,0.1082,Angeles
14,Capacity of Health Services,0.9306,0.9551,0.5156,0.2389,0.6085,0.1712,0.2378,0.0989,0.0095,Angeles
15,Capacity of School Services,0.6481,1.1236,1.2028,0.5177,0.5914,0.2378,0.3963,0.1993,0.3314,Angeles
16,Recognition of Performance,0.8095,0.8454,0.2850,0.5177,0.2679,0.0463,0.0916,0.2370,0.2184,Angeles
17,Getting Business Permits,-,-,1.8148,2.0548,2.0832,1.5282,1.3889,1.5107,2.0,Angeles
18,Peace and Order,1.2288,1.5751,1.3738,0.6382,0.5460,0.1749,0.1985,0.1438,0.4099,Angeles
19,Social Protection,-,-,0.3342,0.1914,0.5789,0.0847,0.1418,0.1135,0.701,Angeles
20,Road Network,0.4965,0.0039,0.3766,0.0350,0.0648,0.0664,0.0667,0.0628,0.0065,Angeles
21,Distance to Ports,2.8631,2.1690,1.5389,1.0381,1.0272,1.5609,1.5710,1.5710,1.265,Angeles
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.5000,2.4240,1.8159,2.4519,1.8361,Angeles
23,Transportation Vehicles,1.0705,0.6832,0.2042,0.3230,0.2347,0.1110,0.0767,0.0828,0.1608,Angeles
24,Education,0.7266,0.4750,0.6198,0.3870,0.3086,0.2410,0.2541,0.3444,0.3011,Angeles
25,Health,0.4777,0.5191,0.2227,0.2136,0.0000,0.1294,0.1962,0.1542,0.1473,Angeles
26,LGU Investment,0.9259,0.2422,0.5710,0.4152,0.0000,0.0649,0.1002,0.0942,0.1776,Angeles
27,Accommodation Capacity,1.7703,0.5939,0.6334,0.4307,0.1982,0.0259,0.3025,0.2525,0.3769,Angeles
28,Information Technology Capacity,0.2773,0.1065,0.9067,0.2778,0.2374,0.2043,0.2450,0.0077,0.057,Angeles
29,Financial Technology Capacity,0.6875,0.6269,0.2325,0.1385,0.1269,0.2673,0.2785,0.2518,0.1009,Angeles
30,Land Use Plan,-,-,-,2.5000,2.5000,2.1538,2.1538,2.2059,1.7778,Angeles
31,Disaster Risk Reduction Plan,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,1.95,Angeles
32,Annual Disaster Drill,-,-,-,2.5000,2.5000,1.8750,2.5000,1.2635,1.0108,Angeles
33,Early Warning System,-,-,-,2.5000,2.5000,2.5000,2.5000,1.3444,1.0748,Angeles
34,Budget for DRRMP,-,-,-,1.0690,0.0000,0.0648,0.0840,0.0947,0.1956,Angeles
35,Local Risk Assessments,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0,Angeles
36,Emergency Infrastructure,-,-,-,0.9799,1.0210,0.4405,0.4552,0.2283,0.3458,Angeles
37,Utilities,-,-,-,1.2322,1.8322,1.9193,1.9529,1.3021,1.5158,Angeles
38,Employed Population,-,-,-,0.2686,0.4192,0.0000,0.0044,0.0040,0.0014,Angeles
39,Sanitary System,-,-,-,2.0000,1.7253,1.8751,1.8703,1.8750,1.5024,Angeles
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0793,Angeles
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Angeles
42,STEM graduates,-,-,-,-,-,-,-,-,0.0037,Angeles
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0648,Angeles
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Angeles
45,Internet Capability,-,-,-,-,-,-,-,-,1.015,Angeles
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.1625,Angeles
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Angeles
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Angeles
49,New Technology,-,-,-,-,-,-,-,-,0.0,Angeles
