,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.1851,0.3798,0.4635,0.0240,0.0627,0.0477,0.0872,0.0657,0.016,Pilar (BN)
1,Local Economy Growth,0.4085,0.5611,0.1068,0.0055,0.0016,0.0014,1.0261,0.0064,0.0011,Pilar (BN)
2,Active Establishments in the Locality,-,-,-,0.0000,0.0090,0.7031,0.6891,1.0238,0.8329,Pilar (BN)
3,Safety Compliant Business,-,-,-,0.7323,0.3629,0.7050,0.7919,0.7322,0.5613,Pilar (BN)
4,Employment Generation,0.1435,1.6476,0.1847,0.6072,0.2957,0.4613,0.3667,0.7238,0.8478,Pilar (BN)
5,Cost of Living,3.9751,3.6325,2.8333,0.1724,1.1111,2.5000,1.3542,1.0625,1.999,Pilar (BN)
6,Cost of Doing Business,1.5972,2.6063,3.4710,1.9340,1.9295,1.5827,2.0143,2.0570,1.8963,Pilar (BN)
7,Financial Deepening,0.3259,0.9887,0.8488,0.1058,0.0252,0.1798,0.3047,0.3376,0.1586,Pilar (BN)
8,Productivity,0.0000,0.0539,0.0494,0.0013,0.0060,0.4426,0.3896,0.7301,0.5592,Pilar (BN)
9,Presence of Business and Professional Organizations,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0137,Pilar (BN)
10,Compliance to National Directives,0.6667,3.3333,3.2323,0.0000,0.0000,2.4994,2.4643,2.3929,1.8462,Pilar (BN)
11,Presence of Investment Promotion Unit,0.0000,3.3333,3.3333,0.0000,0.0000,2.5000,2.5000,2.5000,1.9984,Pilar (BN)
12,Compliance to ARTA Citizens Charter,-,2.9276,1.8812,2.4600,0.0000,2.3481,2.4554,1.9123,2.0,Pilar (BN)
13,Capacity to Generate Local Resource,0.0000,0.1694,0.2050,0.1472,0.0000,0.2346,0.3750,0.1214,0.2536,Pilar (BN)
14,Capacity of Health Services,0.0402,1.3129,0.1142,0.1512,0.0000,0.0352,0.0328,0.0202,0.0253,Pilar (BN)
