,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.1245,0.0029,0.0026,0.0196,0.0120,0.0079,0.0041,Padre Burgos (QN)
1,Local Economy Growth,-,-,0.1025,0.5129,0.0047,0.0053,1.0258,0.0009,0.0006,Padre Burgos (QN)
2,Active Establishments in the Locality,-,-,-,0.1232,0.0021,0.1455,0.1586,0.2697,0.1667,Padre Burgos (QN)
3,Safety Compliant Business,-,-,-,0.6322,0.0938,0.1583,0.2753,0.1740,0.1036,Padre Burgos (QN)
4,Employment Generation,-,-,0.0997,0.0798,0.0604,0.1513,0.1066,0.1294,0.0782,Padre Burgos (QN)
5,Cost of Living,-,-,4.0000,1.6379,0.6944,1.5000,1.6146,1.0625,1.9997,Padre Burgos (QN)
6,Cost of Doing Business,-,-,1.3354,1.5697,2.0495,2.1147,2.2421,2.3250,1.9204,Padre Burgos (QN)
7,Financial Deepening,-,-,0.3086,0.0661,0.0168,0.0098,0.1103,0.0962,0.0917,Padre Burgos (QN)
8,Productivity,-,-,0.0002,0.0105,0.0037,0.1297,0.0865,0.0873,0.0506,Padre Burgos (QN)
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Padre Burgos (QN)
10,Compliance to National Directives,-,-,2.6263,1.6776,0.0000,2.4981,2.3929,2.3214,1.8462,Padre Burgos (QN)
11,Presence of Investment Promotion Unit,-,-,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9955,Padre Burgos (QN)
12,Compliance to ARTA Citizens Charter,-,-,1.5720,2.3224,0.0000,2.2873,2.3487,1.6121,1.0,Padre Burgos (QN)
13,Capacity to Generate Local Resource,-,-,1.5409,1.1556,0.0000,0.0554,0.2053,0.0211,0.1222,Padre Burgos (QN)
14,Capacity of Health Services,-,-,0.1195,0.1163,0.0000,0.0488,0.0993,0.0466,0.0268,Padre Burgos (QN)
15,Capacity of School Services,-,-,0.3920,0.1118,0.0000,0.3053,0.0646,0.0501,0.0096,Padre Burgos (QN)
16,Recognition of Performance,-,-,0.0877,0.1118,0.0000,0.0694,0.0235,0.0391,0.0584,Padre Burgos (QN)
