,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.1673,0.2935,0.3122,0.0124,0.0488,0.0659,0.1573,0.0876,0.0144,Bucay
1,Local Economy Growth,0.2903,0.2812,0.0880,1.2159,0.0020,0.0010,1.0283,0.0007,0.0007,Bucay
2,Active Establishments in the Locality,-,-,-,0.0000,0.0053,0.3854,0.5199,0.7344,0.792,Bucay
3,Safety Compliant Business,-,-,-,0.4110,0.2363,0.4388,0.4827,0.4760,0.4603,Bucay
4,Employment Generation,0.0000,1.8824,0.5946,0.5747,0.2299,0.4713,0.4710,0.5753,0.8238,Bucay
5,Cost of Living,3.9751,3.6325,2.8333,0.1724,1.1111,2.5000,1.3542,1.0625,1.999,Bucay
6,Cost of Doing Business,1.5972,3.3095,3.5145,1.9216,1.8373,1.9681,2.0464,2.0565,1.8962,Bucay
7,Financial Deepening,0.3724,1.3418,1.5432,0.2646,0.0965,0.3395,0.4358,0.5657,0.2252,Bucay
8,Productivity,0.0000,0.0329,0.0000,0.0021,0.0198,0.3674,0.3949,0.5111,0.3706,Bucay
9,Presence of Business and Professional Organizations,0.0000,0.0142,0.0260,0.0275,0.0317,0.0019,0.0031,0.0030,0.0095,Bucay
10,Compliance to National Directives,2.9167,2.9167,3.0976,0.0000,0.0000,2.4988,2.4286,2.3571,1.8077,Bucay
11,Presence of Investment Promotion Unit,0.0000,2.5000,3.3333,0.0000,0.0000,2.5000,2.5000,2.5000,1.9997,Bucay
12,Compliance to ARTA Citizens Charter,-,2.9845,2.2345,2.2628,0.0000,2.3899,2.4561,2.1777,1.0,Bucay
13,Capacity to Generate Local Resource,0.0000,1.7739,0.2145,0.1716,0.0000,0.3186,0.4427,0.1531,0.2974,Bucay
14,Capacity of Health Services,0.0000,1.5380,1.8387,0.1889,0.0000,0.0691,0.1018,0.0903,0.4707,Bucay
15,Capacity of School Services,0.0000,0.4303,0.4804,0.2064,0.0000,0.3244,0.0924,0.0638,0.0598,Bucay
16,Recognition of Performance,0.0000,0.0000,0.2381,0.2064,0.0000,0.0000,0.0000,0.0000,0.2537,Bucay
17,Getting Business Permits,-,-,1.1111,1.5070,0.0000,1.5288,1.5933,1.5521,1.5,Bucay
18,Peace and Order,0.0000,0.1338,0.0886,0.1626,0.0000,0.2304,0.3444,0.0924,0.0015,Bucay
19,Social Protection,-,-,0.0879,0.0865,0.0000,1.7256,0.8651,0.2760,0.9985,Bucay
20,Road Network,0.0000,0.0001,0.0027,0.0003,0.0000,0.0437,0.0006,0.0365,0.0011,Bucay
21,Distance to Ports,0.0000,2.9833,3.0948,2.4195,0.0000,2.3654,2.2882,2.3120,1.9823,Bucay
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,0.0000,2.4625,2.2125,2.4625,0.4548,Bucay
23,Transportation Vehicles,0.0000,1.6445,0.3987,0.6459,0.0000,0.0483,0.0741,0.1896,0.0229,Bucay
24,Education,0.0625,0.3087,0.2706,0.1764,0.0000,0.1338,0.0465,0.0541,0.1527,Bucay
25,Health,0.1701,2.1901,1.7816,0.4390,0.0000,0.2526,0.3188,0.3211,0.2382,Bucay
26,LGU Investment,0.0000,0.6196,0.4735,0.1148,0.0000,0.1442,0.1252,0.1358,0.001,Bucay
27,Accommodation Capacity,0.0000,0.3102,0.1248,0.0249,0.0000,0.0055,0.0111,0.0033,0.0246,Bucay
28,Information Technology Capacity,0.0000,1.1197,1.7196,1.1905,0.0000,0.6221,1.0046,0.3804,0.3913,Bucay
29,Financial Technology Capacity,0.0388,0.2778,0.3333,0.2500,0.0000,0.3125,0.2500,0.1389,0.0909,Bucay
30,Land Use Plan,-,-,-,2.5000,0.0000,2.3718,2.3718,2.4857,1.9595,Bucay
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.5000,1.9998,Bucay
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,1.2829,1.002,Bucay
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2799,1.0375,Bucay
34,Budget for DRRMP,-,-,-,0.0024,0.0000,0.1544,0.0579,0.0024,0.0,Bucay
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Bucay
36,Emergency Infrastructure,-,-,-,0.8679,0.0000,0.4776,0.4839,0.2674,0.4144,Bucay
37,Utilities,-,-,-,1.0190,0.0000,1.8850,1.8880,1.3019,1.5093,Bucay
38,Employed Population,-,-,-,0.5585,0.0000,0.2901,0.3476,0.3219,0.0563,Bucay
39,Sanitary System,-,-,-,1.0883,0.0000,2.0447,1.9886,1.8751,1.5,Bucay
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0533,Bucay
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0038,Bucay
42,STEM graduates,-,-,-,-,-,-,-,-,0.0047,Bucay
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0483,Bucay
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Bucay
45,Internet Capability,-,-,-,-,-,-,-,-,0.1957,Bucay
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.1194,Bucay
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Bucay
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Bucay
49,New Technology,-,-,-,-,-,-,-,-,0.0,Bucay
