,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.0229,0.2417,0.0002,0.0186,0.0248,0.0145,0.0123,0.0455,0.0832,Alicia (IA)
1,Local Economy Growth,0.1718,0.0012,0.0000,0.0245,0.0100,0.6283,0.3295,0.0028,0.0003,Alicia (IA)
2,Active Establishments in the Locality,-,-,-,0.1335,0.2022,0.1124,0.1764,0.2215,0.2057,Alicia (IA)
3,Safety Compliant Business,-,-,-,0.1178,0.1439,0.1856,0.1484,0.1517,0.0,Alicia (IA)
4,Employment Generation,0.0000,0.1726,0.0000,0.0836,0.0869,0.1188,0.1173,0.1344,0.0996,Alicia (IA)
5,Cost of Living,2.6820,3.2946,2.5833,1.0135,0.8796,1.3492,1.0776,0.0938,1.6971,Alicia (IA)
6,Cost of Doing Business,1.2853,3.7369,2.4214,2.1300,1.9188,1.8254,2.1929,2.1408,1.8623,Alicia (IA)
7,Financial Deepening,0.5587,1.1740,0.4755,0.7323,0.1362,0.4986,0.4782,0.3409,0.4355,Alicia (IA)
8,Productivity,0.0000,0.0034,0.0000,0.0140,0.0046,0.0018,0.0899,0.1273,0.077,Alicia (IA)
9,Presence of Business and Professional Organizations,0.0000,0.0287,0.0031,0.0172,0.0118,0.0085,0.0154,0.0176,0.0089,Alicia (IA)
10,Compliance to National Directives,1.0000,3.3333,3.3041,0.0000,0.0000,2.4000,2.5000,2.4405,1.9286,Alicia (IA)
11,Presence of Investment Promotion Unit,0.0000,3.3333,0.0000,2.5000,0.0000,2.5000,2.5000,2.5000,1.9744,Alicia (IA)
12,Compliance to ARTA Citizens Charter,-,2.9077,1.8942,2.0311,0.0000,2.2026,2.4171,1.8138,2.0,Alicia (IA)
13,Capacity to Generate Local Resource,0.0000,1.3138,0.4594,0.6552,0.0000,0.0937,0.0878,0.0209,0.0084,Alicia (IA)
14,Capacity of Health Services,0.3590,0.0680,0.0780,0.0706,0.0000,0.1199,0.0956,0.0986,0.002,Alicia (IA)
15,Capacity of School Services,0.5037,0.3372,0.0000,0.2210,0.0000,0.7339,0.2867,0.0793,0.0148,Alicia (IA)
16,Recognition of Performance,0.2381,0.6349,0.0000,0.2210,0.0000,0.1488,0.0204,0.0000,0.0582,Alicia (IA)
17,Getting Business Permits,-,-,0.0000,1.3528,0.0000,2.4640,2.4834,2.4501,2.0,Alicia (IA)
18,Peace and Order,0.3659,0.0348,0.0143,0.2714,0.0000,0.0156,0.0227,0.0673,0.0001,Alicia (IA)
19,Social Protection,-,-,0.0104,0.2082,0.0000,0.1626,0.2620,0.2416,0.0,Alicia (IA)
20,Road Network,0.0000,0.0021,0.0021,0.0014,0.0000,0.0232,0.0005,0.0350,0.0015,Alicia (IA)
21,Distance to Ports,0.0000,2.5226,1.5102,0.7856,0.0000,1.9914,1.8937,2.4214,1.3716,Alicia (IA)
22,Availability of Basic Utilities,0.0000,3.3333,3.3333,2.5000,0.0000,2.4683,1.9559,1.9470,0.0703,Alicia (IA)
23,Transportation Vehicles,0.0000,0.0000,0.0000,0.2255,0.0000,0.0502,0.0453,0.0202,0.0203,Alicia (IA)
24,Education,0.2749,0.3490,0.1000,0.1588,0.0000,0.0519,0.1204,0.1337,0.1155,Alicia (IA)
25,Health,0.2421,0.1316,0.1338,0.4947,0.0000,0.2190,0.3014,0.3212,0.1284,Alicia (IA)
26,LGU Investment,0.0000,0.4354,0.0000,0.5521,0.0000,0.0676,0.0734,0.0174,0.001,Alicia (IA)
27,Accommodation Capacity,0.0000,0.0135,0.0000,0.0042,0.0000,0.0034,0.0216,0.0382,0.0,Alicia (IA)
28,Information Technology Capacity,0.0000,0.5958,0.9227,0.7597,0.0000,0.3405,0.3042,0.1818,0.1674,Alicia (IA)
29,Financial Technology Capacity,0.1073,0.1534,0.1057,0.1423,0.0000,0.1749,0.1412,0.1412,0.0862,Alicia (IA)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.0000,2.3205,2.4773,1.9242,Alicia (IA)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.4474,1.9998,Alicia (IA)
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2667,1.006,Alicia (IA)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2555,1.0037,Alicia (IA)
34,Budget for DRRMP,-,-,-,0.0027,0.0000,0.1382,0.0509,0.0195,0.0,Alicia (IA)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Alicia (IA)
36,Emergency Infrastructure,-,-,-,0.9013,0.0000,0.5562,0.6771,0.2621,0.3687,Alicia (IA)
37,Utilities,-,-,-,1.0512,0.0000,1.8824,1.8831,1.2806,1.5127,Alicia (IA)
38,Employed Population,-,-,-,0.1421,0.0000,0.0048,0.0624,0.0080,0.0073,Alicia (IA)
39,Sanitary System,-,-,-,1.0750,0.0000,1.0192,1.4993,1.2503,1.5002,Alicia (IA)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Alicia (IA)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Alicia (IA)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Alicia (IA)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0308,Alicia (IA)
