,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.1443,0.0000,0.0012,0.0016,0.0066,0.0028,0.0005,Barbaza
1,Local Economy Growth,-,-,0.0000,0.0000,0.0000,0.0009,1.0280,0.0004,0.0,Barbaza
2,Active Establishments in the Locality,-,-,-,0.0000,0.0000,0.1480,0.0000,0.3186,0.228,Barbaza
3,Safety Compliant Business,-,-,-,0.0000,0.0012,0.0024,0.0851,0.0129,0.1109,Barbaza
4,Employment Generation,-,-,0.0130,0.0000,0.0580,0.0601,0.0735,0.0261,0.0388,Barbaza
5,Cost of Living,-,-,1.5000,1.5086,2.2222,1.7500,1.9792,1.5000,1.9992,Barbaza
6,Cost of Doing Business,-,-,0.7217,0.2969,0.1761,0.4484,1.6699,1.9684,1.8957,Barbaza
7,Financial Deepening,-,-,0.6173,0.1058,0.0545,0.1103,0.2924,0.1771,0.0383,Barbaza
8,Productivity,-,-,0.0862,0.0000,0.0022,0.0243,0.0478,0.0235,0.021,Barbaza
9,Presence of Business and Professional Organizations,-,-,0.0260,0.0020,0.0011,0.0093,0.0034,0.0000,0.0,Barbaza
10,Compliance to National Directives,-,-,2.2222,2.3026,0.0000,2.4994,2.5000,2.4643,1.9231,Barbaza
11,Presence of Investment Promotion Unit,-,-,2.5000,0.0000,0.0000,2.5000,2.5000,0.0000,0.0,Barbaza
12,Compliance to ARTA Citizens Charter,-,-,0.8416,0.8595,0.0000,2.2561,2.4962,2.0046,2.0,Barbaza
13,Capacity to Generate Local Resource,-,-,0.0120,0.0000,0.0000,0.0329,0.0358,0.0120,0.0159,Barbaza
14,Capacity of Health Services,-,-,0.1477,0.1134,0.0000,0.0817,0.0692,0.1149,0.0741,Barbaza
15,Capacity of School Services,-,-,0.0000,0.0000,0.0000,0.2954,0.0673,0.0453,0.0077,Barbaza
16,Recognition of Performance,-,-,0.2381,0.0000,0.0000,0.0347,0.0625,0.0000,0.0,Barbaza
17,Getting Business Permits,-,-,0.0000,1.4066,0.0000,1.4607,2.4407,2.4847,2.0,Barbaza
18,Peace and Order,-,-,0.2290,0.0000,0.0000,0.2074,0.3189,0.0862,0.0002,Barbaza
19,Social Protection,-,-,0.0019,0.0000,0.0000,0.4461,0.0117,0.0000,0.0227,Barbaza
20,Road Network,-,-,0.0017,0.0000,0.0000,0.0870,0.0002,0.0731,0.0,Barbaza
21,Distance to Ports,-,-,1.6532,1.4906,0.0000,2.2870,2.2812,2.2316,1.9466,Barbaza
22,Availability of Basic Utilities,-,-,0.0000,0.0000,0.0000,2.2125,1.9625,2.2500,0.4045,Barbaza
23,Transportation Vehicles,-,-,0.0569,0.0369,0.0000,0.0024,0.0125,0.0241,0.0017,Barbaza
24,Education,-,-,0.1281,0.0791,0.0000,0.0092,0.0067,0.0392,0.0233,Barbaza
25,Health,-,-,0.2171,0.1492,0.0000,0.0647,0.0953,0.0227,0.0334,Barbaza
26,LGU Investment,-,-,0.7368,0.0000,0.0000,0.0739,0.0510,0.0927,0.0002,Barbaza
27,Accommodation Capacity,-,-,0.0000,0.0000,0.0000,0.0177,0.0817,0.0520,0.0,Barbaza
28,Information Technology Capacity,-,-,0.7725,0.3869,0.0000,0.1930,0.3380,0.0543,0.0435,Barbaza
29,Financial Technology Capacity,-,-,0.5714,0.4063,0.0000,0.2106,0.5313,0.0893,0.0455,Barbaza
30,Land Use Plan,-,-,-,0.0000,0.0000,2.4103,2.4103,2.4286,1.8784,Barbaza
31,Disaster Risk Reduction Plan,-,-,-,0.0000,0.0000,2.4537,2.4074,2.4559,1.9988,Barbaza
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,2.3214,2.5000,1.2911,1.0015,Barbaza
33,Early Warning System,-,-,-,0.0000,0.0000,2.5000,2.5000,1.2774,1.0198,Barbaza
34,Budget for DRRMP,-,-,-,0.0000,0.0000,0.1125,0.0399,0.0025,0.0,Barbaza
35,Local Risk Assessments,-,-,-,0.0000,0.0000,2.5000,2.5000,2.5000,2.0,Barbaza
36,Emergency Infrastructure,-,-,-,0.4167,0.0000,0.5570,0.5148,0.0903,0.388,Barbaza
37,Utilities,-,-,-,0.9722,0.0000,1.8832,1.8550,1.3041,1.4997,Barbaza
38,Employed Population,-,-,-,0.0000,0.0000,0.0134,0.0132,0.0105,0.0027,Barbaza
39,Sanitary System,-,-,-,1.0000,0.0000,1.0303,1.0000,1.2500,1.0,Barbaza
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Barbaza
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Barbaza
42,STEM graduates,-,-,-,-,-,-,-,-,0.6458,Barbaza
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Barbaza
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Barbaza
45,Internet Capability,-,-,-,-,-,-,-,-,1.087,Barbaza
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Barbaza
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Barbaza
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Barbaza
49,New Technology,-,-,-,-,-,-,-,-,0.0,Barbaza
