,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0000,0.0636,0.0039,0.0014,0.0018,0.0192,0.0115,0.0082,Pilar (CU)
1,Local Economy Growth,-,0.0000,0.0000,0.0721,0.0071,0.0022,0.0352,0.0099,0.0,Pilar (CU)
2,Active Establishments in the Locality,-,-,-,0.0000,0.0028,0.2070,0.4472,0.5932,0.3343,Pilar (CU)
3,Safety Compliant Business,-,-,-,0.0976,0.0074,0.0844,0.1227,0.1157,0.1125,Pilar (CU)
4,Employment Generation,-,0.0000,0.0406,0.0353,0.0022,0.0080,0.3673,0.1570,0.2621,Pilar (CU)
5,Cost of Living,-,3.2051,2.6667,0.6466,1.4352,1.5000,1.4344,2.3750,1.7895,Pilar (CU)
6,Cost of Doing Business,-,2.0207,2.6735,1.9081,2.0029,2.0885,2.1306,2.2153,0.4617,Pilar (CU)
7,Financial Deepening,-,0.0000,2.4691,0.4894,0.0294,0.1428,0.4587,0.2971,0.0408,Pilar (CU)
8,Productivity,-,0.0000,0.0001,0.0006,0.0146,0.0053,0.2431,0.0866,0.1908,Pilar (CU)
9,Presence of Business and Professional Organizations,-,0.0000,0.6510,0.2921,0.0361,0.1613,1.2502,0.8238,1.3166,Pilar (CU)
10,Compliance to National Directives,-,0.0000,1.1111,1.1184,0.0000,2.4988,2.4306,2.2619,1.9091,Pilar (CU)
11,Presence of Investment Promotion Unit,-,0.0000,0.0000,1.8750,0.0000,2.5000,0.0000,0.0000,0.6667,Pilar (CU)
12,Compliance to ARTA Citizens Charter,-,0.0000,1.6130,2.2879,0.0000,2.4551,2.4357,2.1877,2.0,Pilar (CU)
13,Capacity to Generate Local Resource,-,1.7988,0.0000,1.2522,0.0000,0.0408,0.2770,0.0032,0.0068,Pilar (CU)
14,Capacity of Health Services,-,0.0000,0.1948,0.1627,0.0000,0.0293,0.1951,0.0815,0.0003,Pilar (CU)
15,Capacity of School Services,-,0.0000,0.2929,0.0998,0.0000,0.1720,0.1110,0.0863,0.024,Pilar (CU)
16,Recognition of Performance,-,0.0000,0.2381,0.0998,0.0000,0.2614,0.1012,0.1141,0.0,Pilar (CU)
17,Getting Business Permits,-,-,0.0000,1.0797,0.0000,2.4025,1.5694,1.8395,0.0,Pilar (CU)
18,Peace and Order,-,0.0000,0.3971,0.4302,0.0000,0.1959,0.5482,0.3333,0.0001,Pilar (CU)
19,Social Protection,-,-,0.0092,0.2371,0.0000,0.5885,0.0901,0.0045,0.0696,Pilar (CU)
20,Road Network,-,0.0000,0.0000,0.0008,0.0000,0.0131,0.0315,0.0129,0.0,Pilar (CU)
21,Distance to Ports,-,0.0000,0.0000,2.4065,0.0000,2.3612,2.3243,2.2059,0.6664,Pilar (CU)
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4500,2.4063,2.3750,0.0057,Pilar (CU)
23,Transportation Vehicles,-,0.0000,0.0054,0.0227,0.0000,0.0022,0.0020,0.0146,0.0371,Pilar (CU)
24,Education,-,0.0989,0.1105,0.1015,0.0000,0.0078,0.0313,0.0883,0.0744,Pilar (CU)
25,Health,-,0.0000,0.3121,0.4998,0.0000,0.0985,0.0466,0.0835,0.0257,Pilar (CU)
26,LGU Investment,-,0.0000,0.0000,0.0000,0.0000,0.0428,0.1512,0.2284,0.0018,Pilar (CU)
27,Accommodation Capacity,-,0.0000,0.0000,0.0409,0.0000,0.0316,0.3576,0.0095,0.0221,Pilar (CU)
28,Information Technology Capacity,-,0.6709,1.0952,0.4960,0.0000,0.2388,1.1250,0.5357,0.375,Pilar (CU)
29,Financial Technology Capacity,-,0.0000,0.0000,0.0000,0.0000,0.1630,1.0000,0.2941,0.0,Pilar (CU)
30,Land Use Plan,-,-,-,0.0000,0.0000,2.4744,2.4730,1.5000,0.0,Pilar (CU)
31,Disaster Risk Reduction Plan,-,-,-,1.5000,0.0000,2.4074,2.4167,2.4286,1.9998,Pilar (CU)
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,2.4107,2.4107,1.2500,1.0053,Pilar (CU)
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2500,1.0,Pilar (CU)
34,Budget for DRRMP,-,-,-,0.0017,0.0000,0.0749,0.1609,0.0041,0.0017,Pilar (CU)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Pilar (CU)
36,Emergency Infrastructure,-,-,-,0.4621,0.0000,0.4435,0.7873,0.2784,0.3962,Pilar (CU)
37,Utilities,-,-,-,1.0930,0.0000,1.8760,1.8916,1.2805,1.0039,Pilar (CU)
38,Employed Population,-,-,-,0.0214,0.0000,0.0122,0.1779,0.1511,0.0,Pilar (CU)
39,Sanitary System,-,-,-,0.0000,0.0000,2.0076,1.5007,1.2522,1.5001,Pilar (CU)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Pilar (CU)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.1591,Pilar (CU)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Pilar (CU)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Pilar (CU)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Pilar (CU)
45,Internet Capability,-,-,-,-,-,-,-,-,0.04,Pilar (CU)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Pilar (CU)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Pilar (CU)
48,ICT Plan,-,-,-,-,-,-,-,-,0.0,Pilar (CU)
49,New Technology,-,-,-,-,-,-,-,-,0.0,Pilar (CU)
