,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.2015,0.2144,0.1113,0.1917,0.3184,0.3922,0.0735,0.1834,0.0895,San Rafael (BU)
1,Local Economy Growth,0.3368,0.2849,0.0002,0.7290,0.0538,0.0052,0.3289,0.0034,0.0,San Rafael (BU)
2,Active Establishments in the Locality,-,-,-,0.0000,0.2004,0.1228,0.2489,0.2648,0.2303,San Rafael (BU)
3,Safety Compliant Business,-,-,-,0.0901,0.1946,0.1844,0.1481,0.1976,0.0,San Rafael (BU)
4,Employment Generation,1.1217,0.0163,0.0000,0.2554,0.2209,0.4055,0.4183,0.3166,0.2944,San Rafael (BU)
5,Cost of Living,3.7835,4.1667,3.9167,0.8784,0.0000,2.4206,0.9914,1.9063,1.875,San Rafael (BU)
6,Cost of Doing Business,2.2433,1.8996,1.5862,1.4668,2.0993,1.9508,2.1203,2.0790,1.585,San Rafael (BU)
7,Financial Deepening,0.6285,0.4604,0.6114,0.2904,0.0773,0.2482,0.2396,0.3265,0.2618,San Rafael (BU)
8,Productivity,0.0473,0.0000,0.0000,0.1135,0.0154,0.0108,0.2784,0.3593,0.207,San Rafael (BU)
9,Presence of Business and Professional Organizations,0.0022,0.0048,0.0062,0.0021,0.0017,0.0021,0.0135,0.0123,0.0073,San Rafael (BU)
10,Compliance to National Directives,3.0000,3.3333,1.1111,0.0000,0.0000,2.4000,2.4242,2.2619,1.8214,San Rafael (BU)
11,Presence of Investment Promotion Unit,0.0000,0.0000,0.0000,0.0000,0.0000,1.2500,1.2500,1.2500,1.9231,San Rafael (BU)
12,Compliance to ARTA Citizens Charter,-,2.7117,1.6235,2.3277,0.0000,2.3764,2.4442,1.6799,2.0,San Rafael (BU)
13,Capacity to Generate Local Resource,1.3008,1.3948,0.2666,0.0580,0.0000,0.3241,0.3295,0.0468,0.02,San Rafael (BU)
14,Capacity of Health Services,0.4897,0.2044,0.1583,0.0833,0.0000,0.0515,0.0567,0.0675,0.0014,San Rafael (BU)
15,Capacity of School Services,0.0000,0.3950,0.1163,0.2234,0.0000,0.4751,0.2868,0.0808,0.0734,San Rafael (BU)
16,Recognition of Performance,0.7576,0.0000,0.1515,0.2234,0.0000,0.0595,0.0253,0.0368,0.1346,San Rafael (BU)
17,Getting Business Permits,-,-,1.1111,2.3868,0.0000,2.4947,2.4852,2.1591,2.0,San Rafael (BU)
18,Peace and Order,0.4129,0.0462,0.0388,0.3337,0.0000,0.0527,0.0467,0.0661,0.0,San Rafael (BU)
19,Social Protection,-,-,0.4138,0.0649,0.0000,0.3614,0.3917,0.3260,0.0013,San Rafael (BU)
20,Road Network,0.0000,0.0000,0.0003,0.0000,0.0000,0.6152,0.0285,0.0593,0.0707,San Rafael (BU)
21,Distance to Ports,0.0000,2.9946,3.0711,2.2864,0.0000,2.2964,2.3725,2.3235,1.7635,San Rafael (BU)
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,0.0000,2.4624,2.4625,2.4589,0.0039,San Rafael (BU)
23,Transportation Vehicles,0.0891,0.0000,0.0610,0.0268,0.0000,0.0090,0.0226,0.0265,0.0518,San Rafael (BU)
24,Education,0.3234,0.4332,0.1795,0.2586,0.0000,0.0976,0.1594,0.1181,0.2787,San Rafael (BU)
25,Health,0.6747,0.0000,0.4059,0.1009,0.0000,0.0665,0.0803,0.0732,0.1413,San Rafael (BU)
26,LGU Investment,1.7515,0.0000,0.0007,0.6161,0.0000,0.4300,0.2525,0.0327,0.0014,San Rafael (BU)
27,Accommodation Capacity,0.0000,0.0000,0.0733,0.0460,0.0000,0.0193,0.0370,0.0515,0.0484,San Rafael (BU)
28,Information Technology Capacity,0.0000,0.5304,0.3816,0.4857,0.0000,0.3405,0.4729,0.3636,0.2291,San Rafael (BU)
29,Financial Technology Capacity,0.0685,0.2249,0.2098,0.1192,0.0000,0.1824,0.2329,0.2569,0.1034,San Rafael (BU)
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4091,1.9242,San Rafael (BU)
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.5000,2.4474,1.9998,San Rafael (BU)
32,Annual Disaster Drill,-,-,-,0.0000,0.0000,2.2500,0.8333,1.2667,1.008,San Rafael (BU)
33,Early Warning System,-,-,-,2.5000,0.0000,0.0000,2.5000,1.2628,1.0199,San Rafael (BU)
34,Budget for DRRMP,-,-,-,0.0016,0.0000,0.3041,0.1820,0.0251,0.0,San Rafael (BU)
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,San Rafael (BU)
36,Emergency Infrastructure,-,-,-,0.8942,0.0000,0.5278,0.5156,0.3467,0.4555,San Rafael (BU)
37,Utilities,-,-,-,0.9932,0.0000,1.8780,1.8780,1.2689,1.5113,San Rafael (BU)
38,Employed Population,-,-,-,0.3852,0.0000,0.0016,0.0018,0.0027,0.0361,San Rafael (BU)
39,Sanitary System,-,-,-,1.1111,0.0000,1.8409,1.9215,1.8753,1.5002,San Rafael (BU)
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0891,San Rafael (BU)
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,San Rafael (BU)
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,San Rafael (BU)
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0144,San Rafael (BU)
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,San Rafael (BU)
45,Internet Capability,-,-,-,-,-,-,-,-,1.1048,San Rafael (BU)
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0185,San Rafael (BU)
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,San Rafael (BU)
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,San Rafael (BU)
49,New Technology,-,-,-,-,-,-,-,-,0.0,San Rafael (BU)
