,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.1283,0.1713,0.0004,0.0026,0.0042,0.0120,0.0043,0.0011,Tubungan
1,Local Economy Growth,-,0.2346,0.0988,0.0037,0.0034,0.0015,1.0270,0.0007,0.0005,Tubungan
2,Active Establishments in the Locality,-,-,-,0.0560,0.0034,0.2373,0.3863,0.4821,0.4734,Tubungan
3,Safety Compliant Business,-,-,-,0.2294,0.1393,0.2955,0.3825,0.2867,0.271,Tubungan
4,Employment Generation,-,0.2431,0.1223,0.0917,0.0291,0.0565,0.0730,0.0774,0.2512,Tubungan
5,Cost of Living,-,3.0449,1.7500,0.9914,1.9907,1.7500,1.9792,1.7188,1.9995,Tubungan
6,Cost of Doing Business,-,2.9621,2.5038,2.0561,2.0552,1.9954,2.0125,2.2105,1.9108,Tubungan
7,Financial Deepening,-,1.2712,1.4660,0.2646,0.0923,0.1346,0.1842,0.2454,0.1019,Tubungan
8,Productivity,-,0.0265,0.0693,0.0008,0.0056,0.0466,0.0450,0.0534,0.0887,Tubungan
9,Presence of Business and Professional Organizations,-,0.0142,0.0391,0.0089,0.0109,0.0261,0.0192,0.0030,0.0127,Tubungan
10,Compliance to National Directives,-,0.0000,3.2323,2.2697,0.0000,2.4963,2.5000,2.4643,1.9231,Tubungan
11,Presence of Investment Promotion Unit,-,0.8333,0.8333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9981,Tubungan
12,Compliance to ARTA Citizens Charter,-,0.7232,2.1244,2.2898,0.0000,2.3612,2.4768,2.2517,2.0,Tubungan
13,Capacity to Generate Local Resource,-,0.0000,0.5695,0.9701,0.0000,0.0659,0.0334,0.0215,0.0314,Tubungan
14,Capacity of Health Services,-,0.0719,0.1097,0.1759,0.0000,0.0631,0.0571,0.0590,0.063,Tubungan
15,Capacity of School Services,-,0.2177,0.2667,0.0910,0.0000,0.1676,0.0320,0.0231,0.0077,Tubungan
16,Recognition of Performance,-,1.6667,2.0677,0.0910,0.0000,0.1389,0.2083,0.1283,0.1536,Tubungan
17,Getting Business Permits,-,-,0.0000,1.4066,0.0000,1.6083,2.4874,1.8656,1.5,Tubungan
18,Peace and Order,-,0.2122,0.1767,0.2570,0.0000,0.2535,0.4209,0.1355,0.0002,Tubungan
19,Social Protection,-,-,0.1026,0.5101,0.0000,0.6606,0.6562,0.1341,1.2899,Tubungan
20,Road Network,-,0.0002,0.0054,0.0010,0.0000,0.0178,0.0005,0.0389,0.0005,Tubungan
21,Distance to Ports,-,2.8887,3.0460,2.3822,0.0000,2.2916,2.2383,2.2527,1.9639,Tubungan
22,Availability of Basic Utilities,-,3.3333,3.3333,2.5000,0.0000,2.4688,2.2281,2.4468,0.4617,Tubungan
23,Transportation Vehicles,-,0.0712,0.0630,0.0304,0.0000,0.0115,0.0129,0.0305,0.0069,Tubungan
24,Education,-,0.0876,0.1019,0.0933,0.0000,0.0062,0.0236,0.0179,0.0312,Tubungan
25,Health,-,0.1575,0.3470,0.0649,0.0000,0.0295,0.0502,0.0602,0.0659,Tubungan
26,LGU Investment,-,0.0000,0.6110,0.1631,0.0000,0.0579,0.0414,0.1013,0.0007,Tubungan
27,Accommodation Capacity,-,0.0000,0.0000,0.0066,0.0000,0.0165,0.0000,0.0024,0.006,Tubungan
28,Information Technology Capacity,-,0.9274,1.4127,0.8234,0.0000,0.4388,0.7963,0.6522,0.1739,Tubungan
29,Financial Technology Capacity,-,0.0000,0.0000,0.1563,0.0000,0.1087,0.3125,0.3571,0.1849,Tubungan
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4744,2.4571,1.9324,Tubungan
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.5000,2.5000,1.9993,Tubungan
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.5000,0.0000,0.0,Tubungan
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2575,1.0099,Tubungan
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.1498,0.0297,0.0021,0.0,Tubungan
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Tubungan
36,Emergency Infrastructure,-,-,-,0.8653,0.0000,0.4580,0.4600,0.2641,0.3939,Tubungan
37,Utilities,-,-,-,0.9911,0.0000,1.8793,1.8716,1.2622,1.5017,Tubungan
38,Employed Population,-,-,-,0.1040,0.0000,0.0244,0.2826,0.0174,0.0068,Tubungan
39,Sanitary System,-,-,-,1.0444,0.0000,2.0326,1.4946,1.2501,1.5,Tubungan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0513,Tubungan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0006,Tubungan
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Tubungan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Tubungan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Tubungan
45,Internet Capability,-,-,-,-,-,-,-,-,1.087,Tubungan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0123,Tubungan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Tubungan
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Tubungan
49,New Technology,-,-,-,-,-,-,-,-,0.0,Tubungan
