,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0676,0.0011,0.0067,0.0087,0.0360,0.0631,0.0498,Saguday
1,Local Economy Growth,-,-,0.0663,0.0038,0.0026,0.0013,0.0315,0.0139,0.0,Saguday
2,Active Establishments in the Locality,-,-,-,0.1192,0.0015,0.1009,0.3442,0.5420,0.3845,Saguday
3,Safety Compliant Business,-,-,-,0.1005,0.1718,0.2448,0.8321,0.6947,0.6008,Saguday
4,Employment Generation,-,-,0.1801,0.0794,0.0499,0.1062,0.4505,0.2566,0.3143,Saguday
5,Cost of Living,-,-,2.5833,1.5948,1.3889,2.2500,1.7213,1.3750,0.5,Saguday
6,Cost of Doing Business,-,-,2.2011,1.7122,1.6659,1.6568,1.7459,1.7469,1.6445,Saguday
7,Financial Deepening,-,-,0.6944,0.0661,0.0378,0.0869,0.5257,0.5565,0.2056,Saguday
8,Productivity,-,-,0.0100,0.0022,0.0063,0.0676,0.2830,0.1242,0.1887,Saguday
9,Presence of Business and Professional Organizations,-,-,0.0781,0.0059,0.0055,0.0057,0.0537,0.0357,0.0396,Saguday
10,Compliance to National Directives,-,-,3.2997,2.3355,0.0000,2.4975,2.3611,2.1429,1.9545,Saguday
11,Presence of Investment Promotion Unit,-,-,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9991,Saguday
12,Compliance to ARTA Citizens Charter,-,-,2.1408,2.2940,0.0000,2.3449,2.3330,2.1877,2.0,Saguday
13,Capacity to Generate Local Resource,-,-,0.1214,0.0722,0.0000,0.0829,0.4317,0.0188,0.0587,Saguday
14,Capacity of Health Services,-,-,0.0457,0.1221,0.0000,0.0542,0.3251,0.1441,0.0003,Saguday
15,Capacity of School Services,-,-,0.0000,0.0000,0.0000,0.1896,0.1144,0.0401,0.0499,Saguday
16,Recognition of Performance,-,-,0.6516,0.0000,0.0000,0.9722,0.7917,0.9712,1.0139,Saguday
17,Getting Business Permits,-,-,1.1111,2.2570,0.0000,2.4416,2.4789,2.4795,1.5,Saguday
18,Peace and Order,-,-,0.3593,0.3709,0.0000,0.3341,0.6798,0.3958,0.0001,Saguday
19,Social Protection,-,-,0.0290,0.2770,0.0000,0.7438,0.1088,0.5098,0.1003,Saguday
20,Road Network,-,-,0.0155,0.0027,0.0000,0.1021,0.0282,0.2665,0.0,Saguday
21,Distance to Ports,-,-,2.9107,2.2419,0.0000,2.1403,2.1333,1.8309,1.3786,Saguday
22,Availability of Basic Utilities,-,-,1.6667,1.2500,0.0000,1.2125,2.0250,2.0250,0.4367,Saguday
23,Transportation Vehicles,-,-,0.0641,0.0348,0.0000,0.0048,0.0050,0.0757,0.0859,Saguday
24,Education,-,-,0.0000,0.0490,0.0000,0.0065,0.0156,0.0485,0.0815,Saguday
25,Health,-,-,0.2372,0.0316,0.0000,0.0676,0.0620,0.3236,0.2155,Saguday
26,LGU Investment,-,-,0.0000,0.0665,0.0000,0.0523,0.1815,0.2395,0.0019,Saguday
27,Accommodation Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Saguday
28,Information Technology Capacity,-,-,1.0952,0.4960,0.0000,0.2457,1.3333,0.1786,0.625,Saguday
29,Financial Technology Capacity,-,-,0.2381,0.1563,0.0000,0.0543,0.4423,0.1872,0.0952,Saguday
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4231,2.4189,2.3654,1.875,Saguday
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4167,2.4762,1.9995,Saguday
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2939,1.0053,Saguday
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.3447,1.0758,Saguday
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.0885,0.1929,0.0043,0.0043,Saguday
35,Local Risk Assessments,-,-,-,0.0000,0.0000,2.5000,2.5000,2.5000,2.0,Saguday
36,Emergency Infrastructure,-,-,-,0.8595,0.0000,0.4580,0.7476,0.3202,0.454,Saguday
37,Utilities,-,-,-,1.0148,0.0000,1.8909,2.0483,1.3577,1.5192,Saguday
38,Employed Population,-,-,-,0.0836,0.0000,0.0305,0.2076,0.2014,0.2316,Saguday
39,Sanitary System,-,-,-,1.5361,0.0000,2.0216,2.0001,1.8786,1.5001,Saguday
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Saguday
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Saguday
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Saguday
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.35,Saguday
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Saguday
45,Internet Capability,-,-,-,-,-,-,-,-,1.1,Saguday
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Saguday
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Saguday
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Saguday
49,New Technology,-,-,-,-,-,-,-,-,0.0,Saguday
