,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,0.0735,0.1800,0.0005,0.0044,0.0037,0.0243,0.0271,0.0183,Sagay (CM)
1,Local Economy Growth,-,0.2918,0.1744,0.0081,0.0029,0.0007,0.0323,0.0125,0.0,Sagay (CM)
2,Active Establishments in the Locality,-,-,-,0.9080,0.0030,0.1748,0.5007,0.7572,0.4559,Sagay (CM)
3,Safety Compliant Business,-,-,-,0.1635,0.1132,0.3243,1.1149,0.7909,0.3775,Sagay (CM)
4,Employment Generation,-,0.2735,0.1884,0.1652,0.0722,0.1070,0.5142,0.2528,0.2863,Sagay (CM)
5,Cost of Living,-,2.5107,2.5000,1.4224,0.6481,1.7500,1.0492,1.6875,1.3421,Sagay (CM)
6,Cost of Doing Business,-,3.0838,2.7849,1.5993,1.6442,1.6296,1.8074,1.8289,1.6202,Sagay (CM)
7,Financial Deepening,-,0.1412,0.1543,0.0661,0.0378,0.1172,0.3080,0.2873,0.2437,Sagay (CM)
8,Productivity,-,0.0133,0.0029,0.0006,0.0058,0.0755,0.4042,0.1530,0.164,Sagay (CM)
9,Presence of Business and Professional Organizations,-,0.0142,0.0260,0.0030,0.0076,0.0602,0.0543,0.0391,0.0132,Sagay (CM)
10,Compliance to National Directives,-,3.3333,3.2997,2.3684,0.0000,2.4988,2.4306,2.4405,1.9091,Sagay (CM)
11,Presence of Investment Promotion Unit,-,0.8333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9981,Sagay (CM)
12,Compliance to ARTA Citizens Charter,-,2.7943,1.6079,2.2898,0.0000,2.3311,2.4119,2.2984,2.0,Sagay (CM)
13,Capacity to Generate Local Resource,-,1.7432,1.7220,1.3099,0.0000,0.0508,0.1265,0.0087,0.0065,Sagay (CM)
14,Capacity of Health Services,-,0.0659,0.1128,0.0959,0.0000,0.0998,0.2998,0.2418,0.0005,Sagay (CM)
15,Capacity of School Services,-,0.2437,0.3063,0.1547,0.0000,0.1951,0.1702,0.1547,0.0463,Sagay (CM)
16,Recognition of Performance,-,0.1389,0.4135,0.1547,0.0000,0.3370,0.3036,0.6647,0.3958,Sagay (CM)
17,Getting Business Permits,-,-,0.0000,1.3471,0.0000,1.6242,2.4688,2.1595,2.0,Sagay (CM)
18,Peace and Order,-,0.3410,0.3638,0.3821,0.0000,0.1728,0.3289,0.1042,0.0001,Sagay (CM)
19,Social Protection,-,-,0.0575,0.5055,0.0000,0.1814,0.1338,0.6453,0.1076,Sagay (CM)
20,Road Network,-,0.0002,0.0016,0.0006,0.0000,0.0233,0.0046,0.0188,0.0,Sagay (CM)
21,Distance to Ports,-,3.1868,3.3159,2.4635,0.0000,2.4352,2.4217,2.4033,1.9139,Sagay (CM)
22,Availability of Basic Utilities,-,3.3278,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,0.4452,Sagay (CM)
23,Transportation Vehicles,-,0.1275,0.0612,0.0397,0.0000,0.0121,0.0171,0.0460,0.0454,Sagay (CM)
24,Education,-,0.1618,0.2386,0.1590,0.0000,0.0409,0.1190,0.1892,0.1098,Sagay (CM)
