,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0614,0.0001,0.0012,0.0018,0.0090,0.0173,0.0001,Pidigan
1,Local Economy Growth,-,-,0.0475,0.0086,0.0038,0.0018,0.0308,0.0112,0.0,Pidigan
2,Active Establishments in the Locality,-,-,-,0.1769,0.0021,0.1252,0.3683,0.4569,0.3639,Pidigan
3,Safety Compliant Business,-,-,-,0.1343,0.0836,0.2730,0.8300,0.4219,0.34,Pidigan
4,Employment Generation,-,-,0.2446,0.0000,0.0531,0.1198,0.4265,0.1616,0.0,Pidigan
5,Cost of Living,-,-,3.7500,1.1638,1.9444,2.2500,0.6967,1.6250,1.8421,Pidigan
6,Cost of Doing Business,-,-,3.5533,1.9730,2.1141,2.0005,2.1461,2.0418,1.3103,Pidigan
7,Financial Deepening,-,-,0.2315,0.0265,0.0042,0.0069,0.0661,0.2327,0.0315,Pidigan
8,Productivity,-,-,0.0008,0.0000,0.0008,0.0664,0.2538,0.0738,0.0001,Pidigan
9,Presence of Business and Professional Organizations,-,-,0.0651,0.0010,0.0000,0.0083,0.0097,0.9711,0.0026,Pidigan
10,Compliance to National Directives,-,-,2.1549,0.0000,0.0000,2.4988,2.4306,2.3810,1.7727,Pidigan
11,Presence of Investment Promotion Unit,-,-,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9984,Pidigan
12,Compliance to ARTA Citizens Charter,-,-,1.3044,2.1723,0.0000,2.3737,2.3945,2.1877,2.0,Pidigan
13,Capacity to Generate Local Resource,-,-,1.3501,0.8649,0.0000,0.0113,0.0303,0.1898,0.0045,Pidigan
14,Capacity of Health Services,-,-,0.0533,0.0756,0.0000,0.0336,0.1181,0.0200,0.0001,Pidigan
15,Capacity of School Services,-,-,0.3123,0.1588,0.0000,0.0746,0.1404,1.1470,0.0967,Pidigan
16,Recognition of Performance,-,-,0.0000,0.1588,0.0000,0.0837,0.0596,0.0000,0.0625,Pidigan
17,Getting Business Permits,-,-,1.1111,1.5057,0.0000,2.1597,2.0521,1.8396,0.5,Pidigan
18,Peace and Order,-,-,0.3360,0.3564,0.0000,0.1843,0.4825,0.2917,0.0001,Pidigan
19,Social Protection,-,-,0.0257,0.2500,0.0000,0.2887,0.0980,0.6497,0.095,Pidigan
20,Road Network,-,-,0.0002,0.0015,0.0000,0.2757,0.0093,0.0176,0.0,Pidigan
21,Distance to Ports,-,-,2.8504,2.2684,0.0000,2.1172,2.0591,2.0342,1.5807,Pidigan
22,Availability of Basic Utilities,-,-,3.3333,2.5000,0.0000,2.3438,2.3438,2.5000,0.3781,Pidigan
23,Transportation Vehicles,-,-,0.0544,0.0360,0.0000,0.0026,0.0025,0.0006,0.1029,Pidigan
24,Education,-,-,0.1118,0.0975,0.0000,0.0623,0.2619,0.1837,0.152,Pidigan
25,Health,-,-,0.0315,0.0164,0.0000,0.0068,0.0031,0.0140,0.0152,Pidigan
26,LGU Investment,-,-,0.2038,0.0814,0.0000,0.0601,0.2078,0.3889,0.0,Pidigan
27,Accommodation Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0219,0.0187,0.0,Pidigan
28,Information Technology Capacity,-,-,0.7249,0.7341,0.0000,0.2388,0.3125,0.8929,0.25,Pidigan
29,Financial Technology Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.1136,0.0,Pidigan
30,Land Use Plan,-,-,-,1.8750,0.0000,2.4744,2.4730,2.4808,0.9306,Pidigan
31,Disaster Risk Reduction Plan,-,-,-,1.5000,0.0000,2.4074,2.3333,2.4524,1.9988,Pidigan
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.4107,2.4107,1.2632,1.2766,Pidigan
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2595,1.0303,Pidigan
34,Budget for DRRMP,-,-,-,0.0010,0.0000,0.0924,0.2172,0.0016,0.0017,Pidigan
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Pidigan
36,Emergency Infrastructure,-,-,-,0.8565,0.0000,0.0280,0.0870,0.2829,0.3907,Pidigan
37,Utilities,-,-,-,0.9993,0.0000,1.8795,1.9186,1.0157,1.0054,Pidigan
38,Employed Population,-,-,-,0.4552,0.0000,0.0122,0.0297,0.1385,0.0,Pidigan
39,Sanitary System,-,-,-,1.0000,0.0000,1.0152,1.0014,1.2509,1.0,Pidigan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Pidigan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Pidigan
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Pidigan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Pidigan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Pidigan
45,Internet Capability,-,-,-,-,-,-,-,-,1.04,Pidigan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Pidigan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Pidigan
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Pidigan
49,New Technology,-,-,-,-,-,-,-,-,0.0,Pidigan
