,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,0.0938,0.0005,0.0027,0.0042,0.0061,0.0118,0.019,Hingyon
1,Local Economy Growth,-,-,0.0663,0.0360,0.0025,0.0014,0.0309,0.0160,0.0,Hingyon
2,Active Establishments in the Locality,-,-,-,0.0741,0.0010,0.0549,0.1912,0.2154,0.1925,Hingyon
3,Safety Compliant Business,-,-,-,0.0294,0.0822,0.0722,0.1968,0.1696,0.1212,Hingyon
4,Employment Generation,-,-,0.0260,0.0315,0.0227,0.0524,0.3477,0.0644,0.1415,Hingyon
5,Cost of Living,-,-,3.5000,0.7328,1.2037,2.0000,0.2459,1.1875,1.3421,Hingyon
6,Cost of Doing Business,-,-,3.2612,1.3291,1.1033,1.9944,2.2106,1.3671,1.3278,Hingyon
7,Financial Deepening,-,-,0.2315,0.0926,0.0168,0.0022,0.1108,0.0581,0.0465,Hingyon
8,Productivity,-,-,0.0050,0.0021,0.0110,0.0260,0.1004,0.0263,0.0659,Hingyon
9,Presence of Business and Professional Organizations,-,-,0.0000,0.0030,0.0033,0.0038,0.0246,0.0153,0.2216,Hingyon
10,Compliance to National Directives,-,-,2.0875,2.2368,0.0000,2.4988,2.4306,2.2619,1.7727,Hingyon
11,Presence of Investment Promotion Unit,-,-,0.0000,0.0000,0.0000,1.2500,1.2500,1.2500,1.3304,Hingyon
12,Compliance to ARTA Citizens Charter,-,-,0.0214,0.0000,0.0000,1.8737,2.2917,1.5834,2.0,Hingyon
13,Capacity to Generate Local Resource,-,-,0.9455,0.6866,0.0000,0.0050,0.0157,0.0010,0.0013,Hingyon
14,Capacity of Health Services,-,-,0.2131,0.0349,0.0000,0.0726,0.1503,0.0868,0.0011,Hingyon
15,Capacity of School Services,-,-,0.2704,0.1262,0.0000,0.0822,0.0729,0.0000,0.02,Hingyon
16,Recognition of Performance,-,-,0.3258,0.1262,0.0000,0.0000,0.0417,0.0000,0.125,Hingyon
17,Getting Business Permits,-,-,0.0000,1.4661,0.0000,1.6006,1.6285,0.0000,0.5,Hingyon
18,Peace and Order,-,-,0.3398,0.4534,0.0000,0.1843,0.5263,0.5833,0.1657,Hingyon
19,Social Protection,-,-,0.0208,0.0913,0.0000,0.2562,0.0770,0.5379,0.1035,Hingyon
20,Road Network,-,-,0.0022,0.0003,0.0000,0.0328,0.0040,0.0038,0.0,Hingyon
21,Distance to Ports,-,-,2.9005,2.1334,0.0000,1.9955,1.9748,2.5000,0.0,Hingyon
22,Availability of Basic Utilities,-,-,3.3333,2.5000,0.0000,2.5000,2.4938,0.6250,0.2449,Hingyon
23,Transportation Vehicles,-,-,0.0288,0.0250,0.0000,0.0007,0.0006,0.0000,0.0181,Hingyon
24,Education,-,-,0.0668,0.0413,0.0000,0.0047,0.0234,0.0000,0.0532,Hingyon
25,Health,-,-,0.3045,0.2551,0.0000,0.0796,0.0280,0.1781,0.1597,Hingyon
26,LGU Investment,-,-,0.6620,0.1700,0.0000,0.0387,0.1458,0.2110,0.002,Hingyon
27,Accommodation Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Hingyon
28,Information Technology Capacity,-,-,0.5397,0.2579,0.0000,0.1764,0.3125,0.5357,0.25,Hingyon
29,Financial Technology Capacity,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Hingyon
30,Land Use Plan,-,-,-,0.0000,0.0000,0.0000,1.0000,1.5000,0.5,Hingyon
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.5000,2.4762,1.9998,Hingyon
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,1.2500,2.5000,1.2588,1.0213,Hingyon
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2879,1.0379,Hingyon
34,Budget for DRRMP,-,-,-,0.0022,0.0000,0.0683,0.1521,0.0039,0.0017,Hingyon
35,Local Risk Assessments,-,-,-,1.2500,0.0000,2.5000,1.2500,1.2500,1.0,Hingyon
36,Emergency Infrastructure,-,-,-,0.8635,0.0000,0.4418,0.5674,0.2783,0.4031,Hingyon
37,Utilities,-,-,-,0.9912,0.0000,1.5618,1.8528,1.2506,1.493,Hingyon
38,Employed Population,-,-,-,0.0402,0.0000,0.0353,0.2195,0.0000,0.0081,Hingyon
39,Sanitary System,-,-,-,1.0000,0.0000,1.0038,1.5004,1.2504,1.5,Hingyon
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Hingyon
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Hingyon
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Hingyon
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Hingyon
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Hingyon
45,Internet Capability,-,-,-,-,-,-,-,-,1.04,Hingyon
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Hingyon
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Hingyon
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Hingyon
49,New Technology,-,-,-,-,-,-,-,-,0.0,Hingyon
