,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.1306,0.0648,0.1081,0.0096,0.0235,0.0105,0.0090,0.0208,0.0098,Don Carlos
1,Local Economy Growth,0.3724,0.1914,0.1253,0.0037,0.0230,0.0054,0.3299,0.0022,0.0,Don Carlos
2,Active Establishments in the Locality,-,-,-,0.0541,0.1307,0.0731,0.0991,0.1336,0.1477,Don Carlos
3,Safety Compliant Business,-,-,-,0.0872,0.0834,0.0708,0.1045,0.1034,0.0,Don Carlos
4,Employment Generation,0.2827,0.1341,0.1129,0.0748,0.0065,0.0777,0.0769,0.0834,0.0777,Don Carlos
5,Cost of Living,2.8736,2.9554,3.0833,1.6892,1.4352,0.9921,0.9052,1.9063,1.8365,Don Carlos
6,Cost of Doing Business,2.0952,3.5280,3.4867,2.1686,2.1353,1.9586,1.9590,1.8269,1.8088,Don Carlos
7,Financial Deepening,0.5121,0.7827,0.8379,0.6061,0.0571,0.2316,0.2880,0.2127,0.2156,Don Carlos
8,Productivity,0.0000,0.0055,0.0037,0.0276,0.0000,0.0009,0.0644,0.0822,0.0564,Don Carlos
9,Presence of Business and Professional Organizations,0.0000,0.0575,0.0309,0.0021,0.0201,0.0163,0.0036,0.0193,0.0011,Don Carlos
10,Compliance to National Directives,3.3333,3.3333,3.2749,2.3397,0.0000,2.4000,2.5000,2.3810,1.9286,Don Carlos
11,Presence of Investment Promotion Unit,0.0000,0.0000,0.0000,2.5000,0.0000,2.5000,2.5000,2.5000,1.8719,Don Carlos
12,Compliance to ARTA Citizens Charter,-,2.8533,2.0576,2.3322,0.0000,2.2622,2.4434,1.6282,1.0,Don Carlos
13,Capacity to Generate Local Resource,0.0000,0.0000,0.1114,1.3317,0.0000,0.0768,0.0665,0.0100,0.0053,Don Carlos
14,Capacity of Health Services,0.6977,0.2201,0.2904,0.1554,0.0000,0.2285,0.2457,0.2384,0.0046,Don Carlos
15,Capacity of School Services,0.4883,0.0000,0.3845,0.1741,0.0000,0.3779,0.1935,0.0843,0.0082,Don Carlos
16,Recognition of Performance,0.0000,0.3175,0.2525,0.1741,0.0000,0.0595,0.0253,0.0000,0.0,Don Carlos
17,Getting Business Permits,-,-,1.1111,1.2756,0.0000,2.4093,1.4774,1.4286,1.5,Don Carlos
18,Peace and Order,0.4071,0.0411,0.0324,0.2842,0.0000,0.0204,0.0263,0.0366,0.0,Don Carlos
19,Social Protection,-,-,0.7040,0.5989,0.0000,0.2536,0.6164,0.4574,0.0,Don Carlos
20,Road Network,0.0007,0.0049,0.0039,0.0019,0.0000,0.0279,0.0005,0.0485,0.0002,Don Carlos
21,Distance to Ports,2.6477,2.4940,2.8251,1.7084,0.0000,2.0937,2.1472,2.1446,1.3936,Don Carlos
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,0.0000,2.0876,1.9859,2.0788,0.081,Don Carlos
23,Transportation Vehicles,0.0196,0.9043,0.1545,0.0723,0.0000,0.0093,0.0069,0.0098,0.0055,Don Carlos
24,Education,0.2871,0.3366,0.1120,0.1473,0.0000,0.1537,0.1254,0.1410,0.1017,Don Carlos
25,Health,0.0278,0.1237,0.2499,0.2204,0.0000,0.2002,0.1867,0.2644,0.1921,Don Carlos
26,LGU Investment,0.7639,0.5835,0.5430,0.1847,0.0000,0.3449,0.1395,0.0178,0.001,Don Carlos
27,Accommodation Capacity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Don Carlos
28,Information Technology Capacity,0.5752,0.3796,0.5894,0.2973,0.0000,0.2359,0.2397,0.4091,0.0969,Don Carlos
29,Financial Technology Capacity,0.0685,0.1111,0.1042,0.1157,0.0000,0.0862,0.1022,0.1022,0.0603,Don Carlos
30,Land Use Plan,-,-,-,2.5000,0.0000,2.3974,2.5000,2.2500,1.8182,Don Carlos
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4074,2.4074,2.4737,1.9995,Don Carlos
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,1.2500,1.008,Don Carlos
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.2537,1.0025,Don Carlos
34,Budget for DRRMP,-,-,-,0.0009,0.0000,0.2308,0.1533,0.0177,0.0,Don Carlos
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Don Carlos
36,Emergency Infrastructure,-,-,-,0.8775,0.0000,0.4896,0.5442,0.2673,0.3699,Don Carlos
37,Utilities,-,-,-,1.0085,0.0000,1.8785,1.8792,1.2686,1.5065,Don Carlos
38,Employed Population,-,-,-,0.2213,0.0000,0.1952,0.1851,0.1997,0.0058,Don Carlos
39,Sanitary System,-,-,-,1.0799,0.0000,2.0498,1.9943,1.8753,1.5002,Don Carlos
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0784,Don Carlos
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Don Carlos
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Don Carlos
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Don Carlos
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Don Carlos
45,Internet Capability,-,-,-,-,-,-,-,-,1.0524,Don Carlos
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Don Carlos
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Don Carlos
48,ICT Plan,-,-,-,-,-,-,-,-,0.6667,Don Carlos
49,New Technology,-,-,-,-,-,-,-,-,0.0,Don Carlos
