,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.1139,0.2742,0.1670,0.0211,0.0106,0.0115,0.0080,0.0123,0.0095,Lucena
1,Local Economy Growth,0.9142,0.5732,0.9793,0.1455,0.2998,1.9995,0.9795,0.2608,0.7906,Lucena
2,Active Establishments in the Locality,-,-,-,0.7711,0.0330,0.0181,0.0306,0.0170,0.0784,Lucena
3,Safety Compliant Business,-,-,-,0.1309,0.1465,0.1419,0.2018,0.1022,0.17,Lucena
4,Employment Generation,0.2485,0.2202,0.2160,0.1113,0.0086,0.1156,0.0649,0.0899,0.0642,Lucena
5,Cost of Living,3.1410,1.5152,4.1667,2.1296,0.0000,0.7237,1.8750,0.4412,2.0,Lucena
6,Cost of Doing Business,2.7907,3.1105,2.8876,1.5271,1.6286,2.1931,2.2408,1.9943,1.7872,Lucena
7,Financial Deepening,0.4739,0.2375,0.0972,0.0522,0.0894,0.1638,0.1600,0.2142,0.2388,Lucena
8,Productivity,0.0001,0.0699,0.3438,0.1083,0.2131,0.1109,0.0702,0.0933,0.055,Lucena
9,Presence of Business and Professional Organizations,0.1812,0.1761,0.3319,0.0798,0.0330,0.0148,0.0295,0.0187,0.0231,Lucena
10,Compliance to National Directives,3.3333,3.3333,2.0635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Lucena
11,Presence of Investment Promotion Unit,1.6667,3.3333,3.3333,2.5000,2.5000,2.5000,2.5000,2.5000,1.8223,Lucena
12,Compliance to ARTA Citizens Charter,-,2.6405,1.2631,1.6862,2.0960,1.8655,2.1128,1.7450,2.0,Lucena
13,Capacity to Generate Local Resource,0.4351,0.6224,2.2834,1.7699,1.0550,0.0254,0.0429,0.0388,0.0276,Lucena
14,Capacity of Health Services,0.5475,0.4935,0.2257,0.1315,0.4717,0.1340,0.1261,0.1012,0.5549,Lucena
15,Capacity of School Services,0.7290,1.3864,0.8534,0.8250,1.1578,0.2219,0.4203,0.1664,0.4197,Lucena
16,Recognition of Performance,0.1667,0.0725,0.2616,0.8250,0.0833,0.0968,0.0513,0.0000,0.1953,Lucena
17,Getting Business Permits,-,-,2.2326,1.7516,1.7795,1.6325,1.1111,0.9897,2.0,Lucena
18,Peace and Order,0.3508,0.2493,0.2193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,Lucena
19,Social Protection,-,-,0.2958,0.1430,1.2198,0.0991,0.2373,0.2494,0.9877,Lucena
20,Road Network,0.2980,0.0026,0.3014,0.0125,0.0307,0.0584,0.0642,0.0404,0.0048,Lucena
21,Distance to Ports,2.1893,2.1599,1.8618,1.3228,1.2995,1.2995,1.2985,1.2987,1.1791,Lucena
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.5000,2.4155,1.8750,1.8419,1.3824,Lucena
23,Transportation Vehicles,0.1808,0.8863,0.1621,0.1831,0.1709,0.1015,0.0867,0.0787,0.0877,Lucena
24,Education,0.2177,0.1728,0.2514,0.2184,0.2150,0.1934,0.2620,0.1878,0.1553,Lucena
25,Health,0.4346,0.7255,0.3578,0.2272,0.5988,0.1141,0.1665,0.1312,0.133,Lucena
26,LGU Investment,0.8117,0.8578,1.9388,0.0614,0.1181,0.0000,0.0000,0.2215,0.19,Lucena
27,Accommodation Capacity,0.0455,0.0000,0.0146,0.0209,0.0093,0.0125,0.0505,0.0325,0.0301,Lucena
28,Information Technology Capacity,0.2062,0.0226,0.7956,0.1667,0.0518,0.1032,0.1621,0.0077,0.0493,Lucena
29,Financial Technology Capacity,0.4707,0.1725,0.0108,0.0825,0.0777,0.0907,0.0939,0.0790,0.0294,Lucena
30,Land Use Plan,-,-,-,2.5000,2.5000,2.3846,2.3846,2.4412,2.0,Lucena
31,Disaster Risk Reduction Plan,-,-,-,2.5000,2.5000,2.4306,2.4306,2.5000,1.95,Lucena
32,Annual Disaster Drill,-,-,-,2.5000,2.5000,1.8750,2.5000,1.3041,1.0358,Lucena
33,Early Warning System,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2529,1.0068,Lucena
34,Budget for DRRMP,-,-,-,1.0831,0.6528,0.0001,0.0133,0.0193,0.4059,Lucena
35,Local Risk Assessments,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0,Lucena
36,Emergency Infrastructure,-,-,-,0.8881,0.8657,0.4382,0.4530,0.2607,0.3985,Lucena
37,Utilities,-,-,-,1.2734,1.6235,1.8789,1.9427,1.2209,1.3449,Lucena
38,Employed Population,-,-,-,0.1170,0.4666,0.0000,0.0029,0.0023,0.0253,Lucena
39,Sanitary System,-,-,-,1.0297,2.1836,2.1835,2.0390,2.1175,1.5987,Lucena
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.122,Lucena
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Lucena
42,STEM graduates,-,-,-,-,-,-,-,-,0.0224,Lucena
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.009,Lucena
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Lucena
45,Internet Capability,-,-,-,-,-,-,-,-,1.0132,Lucena
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0299,Lucena
47,Online Payment Facilities,-,-,-,-,-,-,-,-,2.0,Lucena
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Lucena
49,New Technology,-,-,-,-,-,-,-,-,0.0,Lucena
