,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,0.0222,0.0859,0.4225,0.5044,0.0351,0.0397,0.0437,0.0436,0.0493,Gapan
1,Local Economy Growth,1.2894,0.0973,0.4887,1.3104,0.0265,0.1124,0.6457,0.0378,0.0104,Gapan
2,Active Establishments in the Locality,-,-,-,0.0000,0.2796,0.1751,0.1298,0.1484,0.206,Gapan
3,Safety Compliant Business,-,-,-,0.1311,0.0925,0.1396,0.1880,0.1430,0.112,Gapan
4,Employment Generation,0.0073,0.0000,0.4239,0.0804,0.0425,0.0979,0.1534,0.1137,0.019,Gapan
5,Cost of Living,4.1667,3.5326,3.5833,2.1121,2.5000,2.0635,1.5845,0.6494,1.3333,Gapan
6,Cost of Doing Business,0.3193,0.0677,3.0804,1.5746,1.6597,1.6577,1.5871,1.5963,1.3686,Gapan
7,Financial Deepening,0.1878,0.3522,0.8027,0.8467,0.6675,0.4163,0.4255,0.3155,0.2362,Gapan
8,Productivity,0.0000,0.0000,0.1895,0.0170,0.1188,0.0750,0.1242,0.1243,0.0338,Gapan
9,Presence of Business and Professional Organizations,0.0000,0.0000,0.0255,0.0007,0.0006,0.0003,0.0009,0.0008,1.6758,Gapan
10,Compliance to National Directives,1.0000,1.0000,2.5490,0.3472,2.3611,2.2917,2.2656,2.2059,1.9286,Gapan
11,Presence of Investment Promotion Unit,0.0000,0.0000,0.8333,1.8750,2.5000,2.5000,2.5000,2.5000,1.8096,Gapan
12,Compliance to ARTA Citizens Charter,-,3.0560,2.2204,1.9001,2.2607,1.1319,2.3047,1.4562,2.0,Gapan
13,Capacity to Generate Local Resource,0.7534,0.9118,0.1173,0.1316,0.0891,0.1350,0.0806,0.0429,0.1576,Gapan
14,Capacity of Health Services,0.0346,0.0474,0.0827,0.0975,0.0720,0.0531,0.0426,0.0360,0.1594,Gapan
15,Capacity of School Services,0.4394,0.0000,0.2632,0.8210,0.5268,0.1665,0.2307,0.0809,0.4633,Gapan
16,Recognition of Performance,0.0000,0.0000,0.3241,0.8210,0.2338,0.1033,0.0000,0.0000,0.0515,Gapan
17,Getting Business Permits,-,-,2.4211,2.3198,2.3636,2.3115,2.1522,2.3997,1.0,Gapan
18,Peace and Order,0.2299,0.1248,0.5094,0.5342,0.1160,0.0900,0.1348,0.0380,0.0001,Gapan
19,Social Protection,-,-,0.1220,0.2058,0.6519,0.2130,0.2079,0.3266,0.6808,Gapan
20,Road Network,0.1958,0.0017,0.4752,0.0095,0.3706,0.1332,0.4360,0.0670,0.0051,Gapan
21,Distance to Ports,0.0000,0.0000,1.1059,1.6642,1.3991,1.4021,1.5730,1.8104,1.4237,Gapan
22,Availability of Basic Utilities,3.3333,3.3333,3.3333,2.5000,2.5000,2.4624,2.4550,2.4559,1.5456,Gapan
23,Transportation Vehicles,0.0000,0.0000,0.0918,0.3873,0.2669,0.1397,0.1086,0.0709,0.1095,Gapan
24,Education,0.1584,0.5367,0.3439,0.2902,0.3148,0.2798,0.1518,0.2265,0.1524,Gapan
25,Health,0.1648,0.9293,0.1308,0.2650,0.2670,0.1667,0.2263,0.2212,0.1162,Gapan
26,LGU Investment,0.0000,0.0000,0.6363,0.4293,0.4602,0.2840,0.2605,0.0527,0.0019,Gapan
27,Accommodation Capacity,0.0041,0.0000,0.0000,0.1559,0.1513,0.1127,0.1265,0.1218,0.1599,Gapan
28,Information Technology Capacity,2.1983,0.0000,0.8880,0.3323,0.5676,0.4956,0.6143,1.2500,0.0351,Gapan
29,Financial Technology Capacity,0.0540,0.2838,0.3720,0.2287,0.2600,0.2988,0.2830,0.1923,0.0952,Gapan
30,Land Use Plan,-,-,-,2.5000,2.5000,2.4998,2.4773,2.5000,1.9524,Gapan
31,Disaster Risk Reduction Plan,-,-,-,2.5000,2.5000,2.4405,2.5000,2.5000,1.9444,Gapan
32,Annual Disaster Drill,-,-,-,2.5000,2.5000,2.2917,2.5000,1.2568,1.0097,Gapan
33,Early Warning System,-,-,-,2.5000,2.5000,2.5000,2.5000,1.2545,1.0035,Gapan
34,Budget for DRRMP,-,-,-,0.0466,0.2205,0.3921,0.2425,0.1447,0.0752,Gapan
35,Local Risk Assessments,-,-,-,2.5000,2.5000,2.5000,2.5000,2.5000,2.0,Gapan
36,Emergency Infrastructure,-,-,-,0.8717,0.8759,0.3604,0.5383,0.3717,0.4531,Gapan
37,Utilities,-,-,-,0.9753,1.6587,1.8686,1.8634,1.2495,1.4992,Gapan
38,Employed Population,-,-,-,0.2437,1.3349,0.0026,0.0000,0.0004,0.0006,Gapan
39,Sanitary System,-,-,-,1.3549,1.8087,1.6952,1.8857,1.8752,1.5001,Gapan
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0902,Gapan
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Gapan
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Gapan
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0173,Gapan
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Gapan
45,Internet Capability,-,-,-,-,-,-,-,-,1.0068,Gapan
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.4098,Gapan
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Gapan
48,ICT Plan,-,-,-,-,-,-,-,-,1.3334,Gapan
49,New Technology,-,-,-,-,-,-,-,-,0.0,Gapan
