,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,-,-,-,-,-,-,-,-,0.0,Tongkil
1,Local Economy Growth,-,-,-,-,-,-,-,-,0.0004,Tongkil
2,Active Establishments in the Locality,-,-,-,-,-,-,-,-,0.0066,Tongkil
3,Safety Compliant Business,-,-,-,-,-,-,-,-,0.0036,Tongkil
4,Employment Generation,-,-,-,-,-,-,-,-,0.0079,Tongkil
5,Cost of Living,-,-,-,-,-,-,-,-,1.9992,Tongkil
6,Cost of Doing Business,-,-,-,-,-,-,-,-,0.4391,Tongkil
7,Financial Deepening,-,-,-,-,-,-,-,-,0.0,Tongkil
8,Productivity,-,-,-,-,-,-,-,-,0.0,Tongkil
9,Presence of Business and Professional Organizations,-,-,-,-,-,-,-,-,0.0,Tongkil
10,Compliance to National Directives,-,-,-,-,-,-,-,-,1.8846,Tongkil
11,Presence of Investment Promotion Unit,-,-,-,-,-,-,-,-,0.0,Tongkil
12,Compliance to ARTA Citizens Charter,-,-,-,-,-,-,-,-,0.0,Tongkil
13,Capacity to Generate Local Resource,-,-,-,-,-,-,-,-,0.0,Tongkil
14,Capacity of Health Services,-,-,-,-,-,-,-,-,0.5765,Tongkil
15,Capacity of School Services,-,-,-,-,-,-,-,-,0.0,Tongkil
16,Recognition of Performance,-,-,-,-,-,-,-,-,0.0,Tongkil
17,Getting Business Permits,-,-,-,-,-,-,-,-,0.0,Tongkil
18,Peace and Order,-,-,-,-,-,-,-,-,0.0,Tongkil
19,Social Protection,-,-,-,-,-,-,-,-,0.0,Tongkil
20,Road Network,-,-,-,-,-,-,-,-,0.0,Tongkil
21,Distance to Ports,-,-,-,-,-,-,-,-,1.3283,Tongkil
22,Availability of Basic Utilities,-,-,-,-,-,-,-,-,0.1245,Tongkil
23,Transportation Vehicles,-,-,-,-,-,-,-,-,0.0174,Tongkil
24,Education,-,-,-,-,-,-,-,-,0.0185,Tongkil
25,Health,-,-,-,-,-,-,-,-,0.0022,Tongkil
26,LGU Investment,-,-,-,-,-,-,-,-,0.0,Tongkil
27,Accommodation Capacity,-,-,-,-,-,-,-,-,0.0002,Tongkil
28,Information Technology Capacity,-,-,-,-,-,-,-,-,0.0,Tongkil
29,Financial Technology Capacity,-,-,-,-,-,-,-,-,0.0,Tongkil
30,Land Use Plan,-,-,-,-,-,-,-,-,0.9595,Tongkil
31,Disaster Risk Reduction Plan,-,-,-,-,-,-,-,-,0.0,Tongkil
32,Annual Disaster Drill,-,-,-,-,-,-,-,-,0.0,Tongkil
33,Early Warning System,-,-,-,-,-,-,-,-,0.0,Tongkil
34,Budget for DRRMP,-,-,-,-,-,-,-,-,0.0,Tongkil
35,Local Risk Assessments,-,-,-,-,-,-,-,-,0.0,Tongkil
36,Emergency Infrastructure,-,-,-,-,-,-,-,-,0.0,Tongkil
37,Utilities,-,-,-,-,-,-,-,-,0.5,Tongkil
38,Employed Population,-,-,-,-,-,-,-,-,0.0,Tongkil
39,Sanitary System,-,-,-,-,-,-,-,-,0.0,Tongkil
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0,Tongkil
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.0,Tongkil
42,STEM graduates,-,-,-,-,-,-,-,-,0.0,Tongkil
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0,Tongkil
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,0.0,Tongkil
45,Internet Capability,-,-,-,-,-,-,-,-,0.0,Tongkil
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0,Tongkil
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Tongkil
48,ICT Plan,-,-,-,-,-,-,-,-,0.0,Tongkil
49,New Technology,-,-,-,-,-,-,-,-,0.0,Tongkil
