,Pillar / Indicator,2014,2015,2016,2017,2018,2019,2020,2021,2022,City_Municipality
0,Local Economy Size,1.0138,0.7097,0.5884,0.2348,0.4067,0.0236,0.0351,0.1068,0.0504,Manolo Fortich
1,Local Economy Growth,0.3351,0.7508,0.0635,0.0070,0.0246,0.0001,0.3306,0.0030,0.0,Manolo Fortich
2,Active Establishments in the Locality,-,-,-,0.9867,1.1047,0.5297,0.8567,0.8221,1.0572,Manolo Fortich
3,Safety Compliant Business,-,-,-,0.2155,0.9893,0.6893,0.6415,0.6979,0.0,Manolo Fortich
4,Employment Generation,0.8254,0.7414,0.6343,0.3459,0.3275,0.4698,0.4027,0.4793,0.3302,Manolo Fortich
5,Cost of Living,2.8736,2.9554,3.0833,1.6892,1.4352,0.9921,0.9052,1.9063,1.8029,Manolo Fortich
6,Cost of Doing Business,3.4258,3.5869,3.4895,2.1840,2.1156,2.0147,2.1567,2.2043,1.8666,Manolo Fortich
7,Financial Deepening,1.3734,1.1280,1.0643,0.6439,0.0976,0.3749,0.4458,0.3577,0.319,Manolo Fortich
8,Productivity,0.0484,0.0033,0.0017,0.0137,0.0033,0.0036,0.2614,0.3439,0.1976,Manolo Fortich
9,Presence of Business and Professional Organizations,0.1420,0.0862,0.0617,0.2150,0.1914,0.1426,0.3382,0.3275,0.0168,Manolo Fortich
10,Compliance to National Directives,3.3333,3.3333,3.1871,2.4038,0.0000,2.3500,2.3864,2.4405,1.9286,Manolo Fortich
11,Presence of Investment Promotion Unit,3.3333,3.3333,3.3333,2.5000,0.0000,2.5000,2.5000,2.5000,1.9488,Manolo Fortich
12,Compliance to ARTA Citizens Charter,-,2.6215,2.0685,2.2481,0.0000,2.2419,2.3922,1.5965,2.0,Manolo Fortich
13,Capacity to Generate Local Resource,0.2418,1.7638,0.1824,0.4220,0.0000,0.2482,0.3291,0.0643,0.0291,Manolo Fortich
14,Capacity of Health Services,0.5366,0.4266,0.4099,0.2846,0.0000,0.2386,0.2039,0.3598,0.0026,Manolo Fortich
15,Capacity of School Services,0.3566,0.4402,0.3868,0.1722,0.0000,0.3682,0.1437,0.1012,0.0252,Manolo Fortich
16,Recognition of Performance,0.3030,0.3968,1.6955,0.1722,0.0000,0.2165,0.0557,0.2040,0.193,Manolo Fortich
17,Getting Business Permits,-,-,1.1111,2.1089,0.0000,2.4771,2.3107,1.8232,1.5,Manolo Fortich
18,Peace and Order,0.2590,0.0306,0.0223,0.2152,0.0000,0.0287,0.0275,0.0567,0.0,Manolo Fortich
19,Social Protection,-,-,1.0026,0.8198,0.0000,0.8306,0.8192,0.6638,0.0015,Manolo Fortich
20,Road Network,0.0066,0.0021,0.0026,0.0015,0.0000,0.0740,0.0039,0.1100,0.0008,Manolo Fortich
21,Distance to Ports,2.9904,3.0319,3.0104,2.2637,0.0000,2.3583,2.4118,2.3926,1.8422,Manolo Fortich
22,Availability of Basic Utilities,3.0961,3.3333,3.3333,2.5000,0.0000,2.4237,2.4238,2.4233,0.1061,Manolo Fortich
23,Transportation Vehicles,0.0051,0.1134,0.2021,0.1327,0.0000,0.0251,0.0219,0.0359,0.0271,Manolo Fortich
24,Education,0.2164,0.3248,0.0766,0.0985,0.0000,0.1254,0.1429,0.1454,0.0963,Manolo Fortich
25,Health,0.2083,0.1614,0.2352,0.4051,0.0000,0.2218,0.2777,0.2908,0.2012,Manolo Fortich
26,LGU Investment,1.3272,1.5661,2.0366,0.8633,0.0000,1.1783,0.4885,0.0576,0.0013,Manolo Fortich
27,Accommodation Capacity,0.3403,0.0702,0.0108,0.0627,0.0000,0.0226,0.0214,0.0772,0.0337,Manolo Fortich
28,Information Technology Capacity,2.5912,0.4525,0.6377,0.3336,0.0000,0.2359,0.5308,0.3636,0.0352,Manolo Fortich
29,Financial Technology Capacity,0.3011,0.3360,0.3140,0.1561,0.0000,0.3050,0.3425,0.3185,0.1207,Manolo Fortich
30,Land Use Plan,-,-,-,2.5000,0.0000,2.4744,2.4231,2.3182,1.8636,Manolo Fortich
31,Disaster Risk Reduction Plan,-,-,-,2.5000,0.0000,2.4537,2.4537,2.4211,1.999,Manolo Fortich
32,Annual Disaster Drill,-,-,-,2.5000,0.0000,2.2500,2.5000,0.0125,0.012,Manolo Fortich
33,Early Warning System,-,-,-,2.5000,0.0000,2.5000,2.5000,1.5680,1.3164,Manolo Fortich
34,Budget for DRRMP,-,-,-,0.0019,0.0000,0.4372,0.2721,0.0146,0.0,Manolo Fortich
35,Local Risk Assessments,-,-,-,2.5000,0.0000,2.5000,2.5000,2.5000,2.0,Manolo Fortich
36,Emergency Infrastructure,-,-,-,0.9038,0.0000,0.6207,0.6131,0.3235,0.4222,Manolo Fortich
37,Utilities,-,-,-,1.1760,0.0000,1.8842,1.8843,1.2945,1.5153,Manolo Fortich
38,Employed Population,-,-,-,0.5344,0.0000,0.0795,0.0765,0.1491,0.1086,Manolo Fortich
39,Sanitary System,-,-,-,1.5806,0.0000,1.9828,1.9867,1.8763,1.5012,Manolo Fortich
40,Start Up and Innovation Facilities,-,-,-,-,-,-,-,-,0.0004,Manolo Fortich
41,Innovation Financing: R&D Expenditures Allotment,-,-,-,-,-,-,-,-,0.117,Manolo Fortich
42,STEM graduates,-,-,-,-,-,-,-,-,0.0033,Manolo Fortich
43,Intellectual Property Registration,-,-,-,-,-,-,-,-,0.0116,Manolo Fortich
44,ICT Use: E-BPLS Software,-,-,-,-,-,-,-,-,2.0,Manolo Fortich
45,Internet Capability,-,-,-,-,-,-,-,-,1.019,Manolo Fortich
46,Availability of Basic Internet Service,-,-,-,-,-,-,-,-,0.0081,Manolo Fortich
47,Online Payment Facilities,-,-,-,-,-,-,-,-,0.0,Manolo Fortich
48,ICT Plan,-,-,-,-,-,-,-,-,2.0001,Manolo Fortich
49,New Technology,-,-,-,-,-,-,-,-,0.0,Manolo Fortich
