,name,poverty-inc,cov,conf-int-lowerlimit,conf-int-upper-limit,year
0,Aborlan,"23,4","17,7","16,6","30,2",2009
1,Abra De Ilog,"37,5","16,4","27,4","47,5",2009
2,Abucay,"7,0","29,5","3,6","10,4",2009
3,Abulug,"21,6","12,1","17,3","25,9",2009
4,Abuyog,"35,4","5,5","32,1","38,6",2009
5,Adams,"29,4","8,5","27,6","31,3",2009
6,Agdangan,"19,8","12,9","15,6","24,0",2009
7,Aglipay,"16,3","14,8","12,4","20,3",2009
8,Agno,"28,4","11,5","23,0","33,7",2009
9,Agoncillo,"15,4","12,1","12,3","18,4",2009
10,Agoo,"21,3","10,3","17,7","24,9",2009
11,Aguilar,"26,0","8,1","22,5","29,4",2009
12,Aguinaldo,"33,2","18,1","23,3","43,0",2009
13,Agutaya,"36,1","23,9","21,9","50,3",2009
14,Ajuy,"30,9","11,5","25,1","36,7",2009
15,Akbar,"32,7","21,3","21,3","44,1",2009
16,Alabat,"17,0","11,3","13,9","20,2",2009
17,Alabel,"41,0","12,0","32,9","49,1",2009
18,Alamada,"44,6","9,9","37,3","51,9",2009
19,Alaminos (LA),"6,4","25,5","3,7","9,1",2009
20,Alaminos (PS),"19,9","10,1","16,6","23,2",2009
21,Alang-Alang,"34,9","7,1","30,8","39,0",2009
22,Al-Barka,"27,0","18,5","18,8","35,2",2009
23,Albuera,"33,6","10,7","27,7","39,5",2009
24,Alburquerque,"25,4","13,1","20,0","30,9",2009
25,Alcala (CG),"21,8","10,4","18,1","25,5",2009
26,Alcala (PS),"20,3","7,5","17,8","22,8",2009
27,Alcantara (CU),"51,2","8,8","43,7","58,6",2009
28,Alcantara (RN),"37,3","17,4","26,6","48,0",2009
29,Alcoy,"47,1","10,9","38,6","55,5",2009
30,Alegria (CU),"62,4","7,5","54,6","70,1",2009
31,Alegria (SN),"57,2","8,5","49,1","65,2",2009
32,Aleosan,"47,1","10,8","38,7","55,4",2009
33,Alfonso,"13,8","11,9","11,1","16,5",2009
34,Alfonso Castaneda,"14,0","33,1","6,4","21,6",2009
35,Alfonso Lista,"37,1","12,2","29,6","44,5",2009
36,Aliaga,"25,4","14,2","19,5","31,4",2009
37,Alicia (BL),"53,7","8,4","46,3","61,2",2009
